D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.792235,7,0.895918,0.904778,85.148055,580.835782,0.375219,1.017386,2,17
0.800000,7,1.046653,0.636516,86.889772,738.997816,0.361704,1.034354,2,18
0.776929,5,0.745768,0.550726,86.001257,872.462193,0.363371,1.039780,2,19
0.659855,2,0.897404,0.698004,110.393959,1062.776993,0.284964,1.030465,2,20
0.712095,4,0.947333,0.958367,0.000000,0.000000,0.000000,0.000000,2,21
0.696483,7,0.858914,1.020252,0.000000,0.000000,0.000000,0.000000,2,22
0.732566,4,1.050000,1.030005,95.610467,635.649021,0.336360,1.009466,2,23
0.795853,5,0.922734,0.967542,86.660219,566.819659,0.370135,1.013417,2,24
0.731380,2,1.008894,0.922821,99.883927,703.297617,0.319810,1.016245,2,25
0.707318,3,0.644200,0.692331,0.000000,0.000000,0.000000,0.000000,2,26
0.721002,7,1.036947,1.116114,0.000000,0.000000,0.000000,0.000000,2,27
0.768186,7,0.822921,0.773852,86.059556,682.729603,0.368053,1.025668,2,28
0.662399,3,0.719400,1.019651,0.000000,0.000000,0.000000,0.000000,2,29
0.780708,2,0.964945,0.844386,95.733679,673.160018,0.332410,1.021206,2,30
best fit at iteration 2,94.908276
0.753160,5,1.037753,0.604884,91.610459,885.914664,0.342089,1.036355,3,1
0.800000,7,1.050000,0.697154,86.356736,688.992383,0.365304,1.030519,3,2
0.669219,6,0.857108,0.647711,95.327764,1009.321836,0.329025,1.033646,3,3
0.760140,6,1.008243,0.685325,87.917534,774.560604,0.358276,1.031267,3,4
0.794628,5,0.924896,0.982134,87.091808,562.851887,0.368636,1.012494,3,5
0.782256,7,0.755474,0.778275,84.490556,658.265372,0.375116,1.025388,3,6
0.786692,7,0.689532,0.594822,86.032132,781.426518,0.364300,1.036991,3,7
0.800000,2,0.744659,0.747154,92.775275,716.274263,0.341072,1.027356,3,8
0.800000,7,0.916727,0.769617,84.247950,637.453583,0.376107,1.025935,3,9
0.780623,3,0.888848,0.838355,91.022231,668.616700,0.349461,1.021588,3,10
0.800000,4,0.965149,0.691341,86.167578,725.481549,0.365962,1.030886,3,11
0.699254,4,0.815842,0.573351,95.543949,1055.514848,0.327031,1.038349,3,12
0.744024,7,0.708324,0.500000,92.762065,973.900609,0.335635,1.042989,3,13
0.775949,2,0.771618,0.727154,95.320874,771.053545,0.331396,1.028621,3,14
0.681962,6,0.998874,0.681174,95.643673,947.563824,0.328716,1.031529,3,15
0.725022,7,0.841489,0.645156,90.715844,861.149895,0.346117,1.033808,3,16
0.793840,7,0.895918,0.500000,89.527837,889.748195,0.348133,1.042989,3,17
0.676199,7,0.940199,0.803111,96.765305,841.541653,0.327311,1.023817,3,18
0.708279,5,0.742224,0.550726,92.021718,1030.688780,0.339130,1.039780,3,19
0.782989,7,1.050000,0.698004,87.752554,715.448147,0.359401,1.030465,3,20
0.795566,2,0.947333,0.500000,0.000000,0.000000,0.000000,0.000000,3,21
0.732722,2,0.887009,0.827575,101.155310,770.055309,0.313938,1.022270,3,22
0.766154,2,0.712883,0.730580,95.361220,788.272898,0.331252,1.028404,3,23
0.795853,7,1.050000,0.701427,86.666994,692.230461,0.364071,1.030248,3,24
0.758008,2,1.050000,0.922821,96.174090,657.355349,0.332340,1.016245,3,25
0.675836,5,0.759515,0.739645,0.000000,0.000000,0.000000,0.000000,3,26
0.783459,2,1.050000,1.116114,92.777875,534.306576,0.348867,1.004019,3,27
0.737069,2,0.822921,0.500000,0.000000,0.000000,0.000000,0.000000,3,28
0.746285,3,0.719400,0.639814,91.284448,884.322189,0.343979,1.034145,3,29
0.695075,5,0.941431,0.844386,94.746139,795.675105,0.335280,1.021206,3,30
best fit at iteration 3,94.746139
0.753160,5,1.037753,0.892040,89.915402,660.604236,0.354763,1.018192,4,1
0.779135,2,1.050000,0.658971,100.983237,830.375811,0.311549,1.032934,4,2
0.798693,5,0.851358,0.795217,83.311598,643.607687,0.380944,1.024316,4,3
0.760140,6,1.008243,0.685325,87.917534,774.560604,0.358276,1.031267,4,4
0.800000,5,0.924896,0.982134,86.596619,555.964301,0.370762,1.012494,4,5
0.800000,7,0.888437,0.778275,83.955787,632.190092,0.377619,1.025388,4,6
0.800000,7,0.689532,0.594822,85.067887,758.463048,0.368533,1.036991,4,7
0.681535,2,0.866652,0.671196,107.564667,1034.194765,0.292087,1.032161,4,8
0.800000,7,0.916727,0.769617,84.247950,637.453583,0.376107,1.025935,4,9
0.780623,5,0.908250,0.838355,85.741715,646.703261,0.371000,1.021588,4,10
0.800000,4,0.633622,0.691341,0.000000,0.000000,0.000000,0.000000,4,11
0.735357,4,0.815842,1.196390,0.000000,0.000000,0.000000,0.000000,4,12
0.792510,5,0.673973,0.565752,83.530810,821.300278,0.374595,1.038830,4,13
0.789605,7,0.771618,0.727154,84.096299,677.690769,0.375737,1.028621,4,14
0.708425,6,0.998874,0.681174,92.770590,883.796879,0.339070,1.031529,4,15
0.725022,7,1.050000,0.645156,93.416805,873.138786,0.336097,1.033808,4,16
0.800000,2,0.895918,0.917037,94.822933,608.021781,0.337233,1.016611,4,17
0.800000,5,0.942538,0.636516,84.707518,756.835694,0.371033,1.034354,4,18
0.776929,5,0.745768,0.550726,86.001257,872.462193,0.363371,1.039780,4,19
0.782989,7,1.050000,0.698004,87.752554,715.448147,0.359401,1.030465,4,20
0.761234,5,0.904007,0.924274,88.960577,633.980930,0.359334,1.016153,4,21
0.786614,2,1.050000,1.020252,92.944541,568.593678,0.346188,1.010083,4,22
0.695281,3,1.032801,1.127997,0.000000,0.000000,0.000000,0.000000,4,23
0.795853,5,0.531229,0.683333,0.000000,0.000000,0.000000,0.000000,4,24
0.758008,3,1.050000,0.754688,93.487916,761.901167,0.338342,1.026880,4,25
0.758641,3,0.759515,0.999316,0.000000,0.000000,0.000000,0.000000,4,26
0.785591,6,1.036947,1.116114,90.486369,522.229039,0.357715,1.004019,4,27
0.705750,7,0.822921,0.773852,0.000000,0.000000,0.000000,0.000000,4,28
0.800000,5,1.050000,0.639814,86.658548,760.829319,0.362749,1.034145,4,29
0.695075,6,1.050000,0.695199,95.003305,904.109414,0.331312,1.030642,4,30
best fit at iteration 4,94.746139
0.760140,4,1.050000,0.892040,90.488837,657.584539,0.352563,1.018192,5,1
0.792225,2,0.709110,0.697154,92.383249,768.188778,0.341419,1.030519,5,2
0.798693,5,1.050000,0.795217,85.014400,645.118799,0.373311,1.024316,5,3
0.760140,4,1.008243,0.576318,95.004618,923.298066,0.329343,1.038162,5,4
0.800000,5,0.924896,0.982134,86.596619,555.964301,0.370762,1.012494,5,5
0.800000,7,0.888437,0.778275,83.955787,632.190092,0.377619,1.025388,5,6
0.800000,5,0.689532,0.594822,82.424589,781.168649,0.380359,1.036991,5,7
0.792500,2,0.744659,0.747154,93.481533,728.469153,0.338443,1.027356,5,8
0.800000,7,0.847660,0.552734,86.531138,808.505715,0.361353,1.039653,5,9
0.786408,2,0.908250,0.736640,95.910224,742.333859,0.329634,1.028021,5,10
0.800000,3,0.965149,1.059141,91.909245,538.416148,0.351026,1.007623,5,11
0.800000,7,0.815842,0.640701,84.349682,724.231407,0.372722,1.034089,5,12
0.800000,5,0.708324,0.699247,81.731308,700.177641,0.386011,1.030386,5,13
0.789605,7,0.950898,1.055697,0.000000,0.000000,0.000000,0.000000,5,14
0.800000,6,0.747435,0.681174,82.078135,701.420766,0.383982,1.031529,5,15
0.725022,6,0.863277,0.645156,89.607413,874.691849,0.350409,1.033808,5,16
0.792235,7,0.895918,0.620083,85.806663,758.186340,0.365847,1.035393,5,17
0.800000,5,0.652542,0.762772,0.000000,0.000000,0.000000,0.000000,5,18
0.776929,5,0.918947,0.550726,89.365972,889.907611,0.349700,1.039780,5,19
