D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.793590,1.05,0.589218,7.0,114.357192,868.414281,114.357192,,,,,,,,1.0
0.763577,0.95042,0.628621,6.0,113.510051,889.736746,113.510051,,,,,,,,1.0
0.738381,0.90031,0.61077,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.749346,0.956415,0.757887,6.0,114.41465,802.770975,114.41465,,,,,,,,1.0
0.756428,1.002532,0.59731,7.0,117.191395,931.36429,117.191395,,,,,,,,1.0
0.800000,0.856536,0.601886,3.0,117.33555,895.414216,117.33555,,,,,,,,1.0
0.747483,0.883501,0.749845,5.0,114.095486,824.393884,114.095486,,,,,,,,1.0
0.723834,0.780474,0.804951,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.732052,0.999615,0.732323,6.0,117.246301,859.994973,117.246301,,,,,,,,1.0
0.799132,1.014861,0.630288,4.0,115.160273,854.784614,115.160273,,,,,,,,1.0
0.696053,1.05,0.689885,3.0,131.532117,1041.412425,131.532117,,,,,,,,1.0
0.721705,0.903151,0.660523,5.0,117.713419,963.530394,117.713419,,,,,,,,1.0
0.800000,0.972099,0.668133,4.0,112.504238,811.707229,112.504238,,,,,,,,1.0
0.732561,0.955691,0.680119,3.0,125.224576,957.269109,125.224576,,,,,,,,1.0
0.785956,0.986565,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.718618,1.025673,0.786373,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.791723,0.9507,0.610692,7.0,112.233715,839.68088,112.233715,,,,,,,,1.0
0.733408,0.990243,0.757967,5.0,117.303799,848.708917,117.303799,,,,,,,,1.0
0.773338,0.894652,0.800905,4.0,114.157112,752.463777,114.157112,,,,,,,,1.0
0.749354,1.05,1.02801,5.0,0.0,0.0,0.0,,,,,,,,1.0
fitness at iteration,2,,,,,116.369435,,,,,,,,1.0
0.798725,1.05,1.008119,7.0,113.454131,580.930922,113.454131,,,,,,,,1.0
0.764735,1.05,0.972816,4.0,118.647046,666.286491,118.647046,,,,,,,,1.0
0.766137,0.825809,0.679278,6.0,110.766957,829.844973,110.766957,,,,,,,,1.0
0.790895,0.948444,0.573285,7.0,113.272822,882.859655,113.272822,,,,,,,,1.0
0.782781,1.05,1.002513,4.0,117.045359,625.385096,117.045359,,,,,,,,1.0
0.787493,1.05,0.685075,5.0,112.376837,807.441345,112.376837,,,,,,,,1.0
0.675476,0.853225,0.730873,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.784246,0.957335,0.5,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.741512,1.015235,0.575728,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.80779,0.646564,5.0,107.403842,807.867613,107.403842,,,,,,,,1.0
0.800000,1.05,0.589218,7.0,113.706192,856.034667,113.706192,,,,,,,,1.0
0.776437,0.924638,0.628621,5.0,112.237012,876.909759,112.237012,,,,,,,,1.0
0.731213,0.822445,0.72388,2.0,130.919401,936.205302,130.919401,,,,,,,,1.0
0.784167,0.774309,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.725939,0.962423,0.687164,7.0,118.992299,899.944593,118.992299,,,,,,,,1.0
0.761029,0.856536,0.601886,5.0,113.352738,934.146927,113.352738,,,,,,,,1.0
0.773440,1.041528,0.866251,5.0,114.015705,700.170952,114.015705,,,,,,,,1.0
0.800000,1.031863,0.645244,5.0,111.695338,821.69098,111.695338,,,,,,,,1.0
0.737910,0.999615,0.732323,2.0,131.437035,908.724544,131.437035,,,,,,,,1.0
0.800000,0.810484,0.551913,6.0,110.146858,890.070257,110.146858,,,,,,,,1.0
0.749963,0.921895,0.689885,4.0,116.896907,887.645445,116.896907,,,,,,,,1.0
0.721705,0.903151,0.660523,5.0,117.713419,963.530394,117.713419,,,,,,,,1.0
0.746951,0.950088,0.609454,4.0,120.190633,985.52317,120.190633,,,,,,,,1.0
0.763129,1.05,0.680119,5.0,115.228627,859.404408,115.228627,,,,,,,,1.0
0.704303,0.99592,0.946382,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.743841,1.025673,0.786373,4.0,118.660542,818.203876,118.660542,,,,,,,,1.0
0.765117,0.9507,0.951267,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.788521,0.990243,0.958535,5.0,113.736437,630.876033,113.736437,,,,,,,,1.0
0.773338,0.894652,0.800905,4.0,114.157112,752.463777,114.157112,,,,,,,,1.0
0.800000,1.05,0.587094,5.0,115.210183,888.874779,115.210183,,,,,,,,1.0
fitness at iteration,3,,,,,115.210183,,,,,,,,1.0
0.721610,1.05,0.835992,2.0,130.914236,846.778047,130.914236,,,,,,,,1.0
0.764735,0.794255,0.753797,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.766137,1.05,0.697442,2.0,129.653754,886.057587,129.653754,,,,,,,,1.0
0.790895,1.05,0.569447,7.0,115.200816,898.161221,115.200816,,,,,,,,1.0
0.765589,0.884952,0.771536,4.0,114.640676,787.154304,114.640676,,,,,,,,1.0
0.787493,1.05,0.685075,5.0,112.376837,807.441345,112.376837,,,,,,,,1.0
0.784464,0.85534,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
