D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.749496,1.001728,0.629118,6.0,89.541908,847.782236,89.541908,,,,,,,,1.0
0.716161,0.718681,0.5,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.691490,0.946504,0.613663,4.0,97.978868,1034.257059,97.978868,,,,,,,,1.0
0.693221,0.741709,0.912093,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.689870,0.652388,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.706214,1.000214,0.717342,5.0,93.168726,869.308237,93.168726,,,,,,,,1.0
0.777378,0.968084,0.849211,2.0,96.002755,675.127194,96.002755,,,,,,,,1.0
0.764153,0.686247,0.558112,4.0,87.114242,906.561662,87.114242,,,,,,,,1.0
0.800000,0.978988,0.985716,7.0,86.017443,539.165642,86.017443,,,,,,,,1.0
0.799267,1.05,0.936675,2.0,92.225194,591.123493,92.225194,,,,,,,,1.0
0.784541,0.959182,0.646681,7.0,86.701633,750.881547,86.701633,,,,,,,,1.0
0.684356,0.976785,0.747293,2.0,106.891874,939.922325,106.891874,,,,,,,,1.0
0.723750,0.647629,0.546919,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.759478,0.799902,0.748382,4.0,87.863135,749.235302,87.863135,,,,,,,,1.0
0.736549,0.717395,0.73727,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.768096,1.05,0.80279,2.0,96.569807,718.994959,96.569807,,,,,,,,1.0
0.800000,1.023544,0.676694,5.0,85.276563,726.255069,85.276563,,,,,,,,1.0
0.729892,0.979922,0.689208,2.0,103.175945,895.032194,103.175945,,,,,,,,1.0
0.785893,0.981988,1.013794,2.0,95.006955,576.625048,95.006955,,,,,,,,1.0
0.776677,1.05,0.563784,6.0,90.395993,872.836302,90.395993,,,,,,,,1.0
fitness at iteration,2,,,,,88.238765,,,,,,,,1.0
0.735332,0.694723,0.915706,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.785153,1.035543,0.866401,5.0,86.56173,625.167283,86.56173,,,,,,,,1.0
0.784541,1.042276,1.066471,6.0,89.544621,538.325051,89.544621,,,,,,,,1.0
0.800000,1.001352,0.737338,6.0,84.164322,668.609925,84.164322,,,,,,,,1.0
0.715770,0.80407,0.571238,6.0,91.277926,972.814374,91.277926,,,,,,,,1.0
0.723662,1.05,0.861076,7.0,93.492881,709.215077,93.492881,,,,,,,,1.0
0.746038,0.944049,0.754082,3.0,94.109484,784.271813,94.109484,,,,,,,,1.0
0.793159,1.036226,0.857012,4.0,87.090207,627.182603,87.090207,,,,,,,,1.0
0.732548,0.779716,0.775773,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.745452,1.03739,0.513438,6.0,0.0,0.0,0.0,,,,,,,,1.0
