D, Z, AEdAO, PdD, P_B, n, etaO, etaR, t075dD, tmin075dD, tal07R, cavLim, Vtip, Vtipmax, fitness, iteration, population i
0.525230205598714,6.0,0.3639288211571165,0.8059831869390996,117.22404620924274,1413.076757856446,0.26937941734070653,1.0236352046949349,0.011,0.011191626262787337,0.4810942634263373,0.13208649075435272,38.86100873553389,39.0,0.0,0,0
0.533756161830084,4.0,0.6532079222647986,0.6593658386731824,115.58866547378442,1573.1187114734857,0.27077708768978365,1.0329087519727542,0.013499999999999998,0.012185584823529747,0.19559332575864982,0.1060996113248256,43.96458932969689,39.0,0.0,0,1
0.6406514931366575,6.0,0.9774449922862536,1.0453774091270298,105.79665449642289,795.1658660198495,0.3036916532300205,1.0084935201415484,0.011,0.010358072094399694,0.2672765093374847,0.2146766935675673,26.673388704342695,39.0,0.0,0,2
0.724822019430416,3.0,0.9938090426727806,1.0954843322131897,99.80812473398701,627.2186473557279,0.3234867336808772,1.0053242572563488,0.01475,0.011598530042158758,0.25843416145617265,0.24168092252333012,23.803946318436367,39.0,0.0,0,3
0.5036373680435603,5.0,0.5504242057208549,0.9207438228517041,126.43096874177486,1421.4373943965265,0.25142315647439023,1.0163765944734626,0.012249999999999999,0.012035763124205687,0.3836644883412883,0.13937252527418897,37.483859766098696,39.0,0.0,0,4
0.61031251730122,4.0,0.8980261423947198,0.7997431797463674,107.08525484776169,1068.2674607804279,0.29528832246763964,1.0240298851498753,0.013499999999999998,0.011634830517988174,0.1850586757720349,0.15934598906788958,34.13743605622922,39.0,0.0,0,5
0.617305408851155,2.0,0.9825896367824454,0.6006275761078935,122.06601081001827,1361.4520000159719,0.2559444980240092,1.0366239470800087,0.016,0.013871192840469941,0.09499666437688496,0.10590809207252425,44.00490004551837,39.0,0.0,0,6
0.6227460251336336,6.0,0.594623756806314,1.3687776142121866,122.34240811393433,759.6456979157475,0.2679537081845575,0.9880384571699121,0.011,0.01014924761188131,0.5912760365234366,0.23218589176438947,24.769695581794906,39.0,0.0,0,7
0.7009445884106289,2.0,0.6146976331404783,1.071152638015039,112.35648778236683,725.3493867857827,0.28677453566367106,1.0068632369143817,0.016,0.013195941830867933,0.35719832724795475,0.21512862196164015,26.621318273104553,39.0,0.0,0,8
0.5577680480482666,6.0,0.7882534906828411,1.3908101133409059,136.55472556941325,904.1011801281173,0.2400723804551757,0.9866449016000207,0.011,0.010748008449582755,0.4965366335580801,0.21723254484900206,26.40397363106226,39.0,0.0,0,9
0.7045738866098981,5.0,0.6401998642850022,1.0750041904303589,98.81984834009086,680.7368003329893,0.3261650264392263,1.0066196262241127,0.012249999999999999,0.010251047161986559,0.38082593505779966,0.22891704383022862,25.11333525322682,39.0,0.0,0,10
0.5371868705285585,3.0,0.43747099831607184,1.3466777417001525,152.11311748427687,1103.967358721147,0.21482037150944217,0.9894362741062983,0.01475,0.013071794616765582,0.692936799943704,0.17996566852448054,31.051332696940637,39.0,0.0,0,11
0.741806190790658,3.0,0.5639347510380952,0.6282910769201967,88.63463567716629,904.3448538844792,0.3539864666285209,1.0348742306536305,0.01475,0.011069542733770534,0.17862981557262722,0.153253924988639,35.12555114472289,39.0,0.0,0,12
0.5799066270135623,3.0,0.7587734480348061,1.1989536733140334,130.46035189948526,928.4892983498045,0.24835848721400947,0.9987798214317204,0.01475,0.012967178336753607,0.39557215961941766,0.20152121951757634,28.1925004843306,39.0,0.0,0,13
0.5478702070751731,2.0,0.8846188808040054,0.7480884774639222,128.4943621759472,1418.1046538564424,0.24499390673274798,1.0272970450692398,0.016,0.014914233180228637,0.16336684410335975,0.1219662782651557,40.680341395051514,39.0,0.0,0,14
0.6847665534957511,6.0,0.5212022901158773,1.2966208275098983,108.37691531794194,656.545597463357,0.3014863703751437,0.9926023739288319,0.011,0.00975252708950894,0.5999773534214602,0.24441932864414176,23.53997815241204,39.0,0.0,0,15
0.7898489759080387,7.0,0.8706217706758914,0.6800090791749325,85.02616353041388,711.6037683787627,0.3705679608139645,1.0316030670110186,0.009749999999999998,0.008993461884837685,0.1460163475792632,0.19168861046577976,29.429367004838394,39.0,0.0,0,16
0.5764583947589256,6.0,0.6857436891920596,0.8853819063718471,109.5915261847902,1089.2994688364952,0.28987027349050154,1.0186132356908137,0.011,0.010802465984959162,0.3000385545666387,0.16769461205590402,32.87864281908547,39.0,0.0,0,17
0.7685824468635601,3.0,0.5212579288579856,1.388928648284832,109.58013127106045,531.8642955053242,0.30045227453004175,0.9867639042648173,0.01475,0.010876588352629887,0.5851606042823603,0.2691377547969661,21.403752516126016,39.0,0.0,0,18
0.7126117334463342,2.0,0.574107034616048,1.184843053373607,115.08379232983917,667.7998845512589,0.28206941202467506,0.9996723181429523,0.016,0.012999322157239836,0.4346028420913232,0.23074254429520608,24.917124997837394,39.0,0.0,0,19
0.6991211201039249,3.0,0.5313275646559275,0.9003559912376546,99.55495021210746,805.9171764781033,0.32021682587774325,1.0176661248230514,0.01475,0.011675424504958575,0.3240923043922281,0.19116840859334133,29.501320546745447,39.0,0.0,0,20
0.5983550761377708,5.0,0.3861402406098563,1.3436105809061898,128.1601139561715,885.6317288944036,0.2552406276728858,0.9896302720265164,0.012249999999999999,0.01072455577753059,0.7850407611111023,0.2052360272259944,27.746663632613963,39.0,0.0,0,21
0.5109282894827292,4.0,0.31445578475942926,1.1091334112197058,135.67393324160136,1352.768209764916,0.23710168377320412,1.0044609530091866,0.013499999999999998,0.01244245856773217,0.7362609932386737,0.14685329820789988,36.18944815947508,39.0,0.0,0,22
