D, Z, AEdAO, PdD, P_B, n, etaO, etaR, t075dD, tmin075dD, tal07R, cavLim, Vtip, Vtipmax, fitness, iteration, population i
0.7291640692908024,2.0,0.3694899899489379,0.8397665385612885,93.44239975861002,820.2080626163648,0.3400955577714877,1.0214984077048315,0.016,0.012432030067636978,0.3739789865633918,0.17812070911625977,31.31467554949231,39.0,0.0,0,0
0.7270986889236958,6.0,0.8398980893477679,0.9886269931685501,92.43220029197445,653.1827551139062,0.34699154319288905,1.0120829839509222,0.011,0.009719650910759171,0.27083833820823894,0.2312073383399782,24.86718893993484,39.0,0.0,0,1
0.7062337024383544,7.0,0.5973710508990169,1.059278918449668,95.00476972370078,664.2300541163414,0.33894085195045115,1.0076142496768914,0.009749999999999998,0.009446336278190848,0.4223250646247003,0.23412904150611727,24.56210497750375,39.0,0.0,0,2
0.6622619073718234,4.0,0.7379000122245782,0.5207440135220645,100.04614865565526,1240.4937479097366,0.31108107319235145,1.0416765824135623,0.013499999999999998,0.010847167434862661,0.11236349806685196,0.11045695102357281,43.01530213334181,39.0,0.0,0,3
0.5375575179467033,6.0,0.6876807456738661,1.0157307868037986,121.2527382679819,1150.3397646978028,0.26391955541740325,1.0103686690034928,0.011,0.01119669946711764,0.36849408866683653,0.17124109728141593,32.37797586287237,39.0,0.0,0,4
0.5457217814049812,7.0,0.6907029986402216,1.2513167748255603,128.45619227499827,987.8391437550423,0.2528851854946147,0.9954678552611163,0.009749999999999998,0.010583136496416918,0.4984555485828652,0.20125432518617387,28.22644225383916,39.0,0.0,0,5
0.6381412721234168,6.0,0.38227391680970313,0.6359734730483292,99.00367110721531,1108.0531759003927,0.31637359462196984,1.0343883190985261,0.011,0.010180095261843866,0.32414897675592297,0.141932468287822,37.023379518975815,39.0,0.0,0,6
0.7488325490406355,2.0,0.4096226224862678,1.0259137489390413,101.0656472505378,690.3420513001056,0.3182342329684796,1.0097245966484385,0.016,0.012485067954312628,0.44719404593405404,0.21108005462214754,27.067470014975402,39.0,0.0,0,7
0.7438728705878415,5.0,0.8909173230724108,0.7893392913216755,88.47157957324384,736.2146844382554,0.358183228633724,1.024687931092737,0.012249999999999999,0.009979762794018356,0.1747328408350755,0.19756693275906956,28.674893788134717,39.0,0.0,0,8
0.7630564182135993,7.0,0.8513363628004262,1.2501055628172684,93.9199574728408,513.5730569556699,0.3474139501080229,0.9955444644206407,0.009749999999999998,0.009051454956335409,0.37858766633296864,0.28075424690807693,20.519061996990025,39.0,0.0,0,9
