D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.776173,4,0.897964,0.668809,113.629029,853.029860,0.355411,1.032311,0,1
0.670977,2,1.043074,0.712582,142.112160,1103.085329,0.284309,1.029543,0,2
0.745121,4,0.877725,0.641138,117.407132,947.024314,0.343165,1.034062,0,3
0.741814,5,1.015425,0.877442,117.999995,748.916062,0.346422,1.019115,0,4
0.729445,7,1.045844,0.676771,120.323796,906.846043,0.335455,1.031808,0,5
0.791908,2,0.969743,0.861327,122.947773,703.376659,0.332501,1.020135,0,6
0.748421,4,0.937592,0.812696,117.711116,789.908430,0.345917,1.023211,0,7
0.797872,6,0.897956,0.607271,109.502573,840.141490,0.367568,1.036204,0,8
0.757722,5,0.933241,0.748936,113.431217,805.585158,0.357634,1.027243,0,9
0.797234,5,0.973494,0.914949,111.579597,638.281844,0.367623,1.016743,0,10
0.769367,4,0.922018,0.667210,114.902162,869.267077,0.351388,1.032413,0,11
0.766270,7,1.048661,0.631601,116.411313,875.011372,0.346055,1.034665,0,12
0.791525,6,1.002287,0.834618,110.740789,679.348186,0.368530,1.021824,0,13
0.783592,4,0.829374,0.609063,112.676294,895.775292,0.357138,1.036090,0,14
0.764027,6,1.029646,0.892279,115.197860,692.110798,0.355337,1.018177,0,15
0.777401,7,0.983644,0.889173,113.600579,662.700945,0.360359,1.018373,0,16
0.779995,4,0.941398,0.878201,114.915835,693.352339,0.356003,1.019067,0,17
0.749850,2,1.018965,0.970986,126.951836,703.405928,0.323916,1.013199,0,18
0.781288,6,0.885147,0.659161,109.998392,820.577991,0.366957,1.032922,0,19
0.704966,6,1.018707,0.784667,121.551833,877.346144,0.334117,1.024983,0,20
0.775462,3,0.754530,0.714182,116.067195,830.999402,0.348901,1.029442,0,21
0.789284,2,0.927567,0.632852,128.180548,909.664700,0.314463,1.034586,0,22
0.786606,6,1.042599,0.945472,113.529535,631.106655,0.361912,1.014813,0,23
0.744273,3,0.767430,0.627135,120.319916,983.654242,0.334571,1.034947,0,24
0.683813,6,1.016107,0.663024,124.570770,1050.065302,0.323463,1.032677,0,25
0.743529,4,0.911638,0.610425,119.429392,989.208978,0.336711,1.036004,0,26
0.772105,3,0.896024,0.646864,119.888564,903.809967,0.336358,1.033700,0,27
0.670902,6,1.041854,0.754906,126.922116,989.155583,0.319167,1.026866,0,28
0.763715,3,1.042242,0.807520,120.129955,775.980762,0.338967,1.023538,0,29
0.732423,4,0.952027,0.708301,119.442969,909.320774,0.338619,1.029814,0,30
0.800000,4,0.897964,1.102875,0.000000,0.000000,0.000000,0.000000,1,1
0.670977,6,1.043074,0.712582,126.829762,1031.868464,0.318571,1.029543,1,2
0.745121,6,0.877725,0.641138,114.196011,911.820653,0.352814,1.034062,1,3
0.625175,7,1.015425,0.731381,0.000000,0.000000,0.000000,0.000000,1,4
0.729445,7,1.050000,0.935448,0.000000,0.000000,0.000000,0.000000,1,5
0.791908,2,0.799611,0.500000,0.000000,0.000000,0.000000,0.000000,1,6
0.748421,6,0.752867,0.812696,0.000000,0.000000,0.000000,0.000000,1,7
0.797872,6,0.897956,0.607271,109.502573,840.141490,0.367568,1.036204,1,8
0.752444,6,1.050000,0.748936,115.659307,806.354739,0.350707,1.027243,1,9
0.797234,5,0.973494,0.914949,111.579597,638.281844,0.367623,1.016743,1,10
0.769367,4,0.905715,0.667210,114.585975,868.579284,0.352363,1.032413,1,11
0.766270,7,1.050000,0.940569,116.690542,655.750801,0.351869,1.015123,1,12
0.791525,2,1.002287,0.834618,122.704211,720.450068,0.332608,1.021824,1,13
0.751400,5,0.829374,1.110979,0.000000,0.000000,0.000000,0.000000,1,14
0.764027,7,1.013398,0.855559,115.505128,702.473978,0.353593,1.020500,1,15
0.777401,7,1.050000,0.889173,114.831664,663.206238,0.356493,1.018373,1,16
0.717037,4,0.995713,0.878201,123.313508,807.176864,0.331329,1.019067,1,17
0.749850,5,1.018965,0.766684,115.647557,808.881388,0.351110,1.026121,1,18
0.781288,6,0.885147,0.553300,113.073629,934.352337,0.354671,1.039617,1,19
0.704966,7,1.018707,0.784667,0.000000,0.000000,0.000000,0.000000,1,20
0.775462,6,0.992596,0.859405,112.765441,690.932076,0.362331,1.020256,1,21
0.755785,5,0.964093,0.718887,114.059102,834.642952,0.354998,1.029144,1,22
0.729972,6,0.802184,0.843879,0.000000,0.000000,0.000000,0.000000,1,23
0.744273,4,0.767430,0.692849,0.000000,0.000000,0.000000,0.000000,1,24
0.689924,5,1.016107,0.663024,124.325213,1050.621223,0.324120,1.032677,1,25
0.728298,6,0.911638,0.610425,117.375222,987.697322,0.342505,1.036004,1,26
0.772105,3,0.896024,0.646864,119.888564,903.809967,0.336358,1.033700,1,27
0.670902,6,1.041854,0.754906,126.922116,989.155583,0.319167,1.026866,1,28
0.800000,7,0.916107,0.807520,109.500810,671.532268,0.372143,1.023538,1,29
0.761871,4,0.952027,0.885553,117.344519,719.197287,0.348666,1.018602,1,30
best fit at iteration 1,117.344519
0.750920,4,0.821556,0.668809,115.245840,902.998906,0.350250,1.032311,2,1
0.762363,6,0.963586,0.766144,112.993796,772.132103,0.359450,1.026155,2,2
0.745121,4,0.877725,0.641138,117.407132,947.024314,0.343165,1.034062,2,3
0.794909,5,0.889816,0.598913,110.515439,869.419459,0.363995,1.036732,2,4
0.800000,7,1.045844,1.024269,113.453250,573.417135,0.364056,1.009829,2,5
0.791908,2,0.969743,0.588432,0.000000,0.000000,0.000000,0.000000,2,6
0.752752,4,0.907356,0.721431,116.168379,852.453636,0.348586,1.028983,2,7
0.685357,6,1.039142,0.598760,0.000000,0.000000,0.000000,0.000000,2,8
0.771278,5,0.933241,0.748936,111.825073,780.028731,0.362874,1.027243,2,9
0.779739,6,0.865464,0.914949,0.000000,0.000000,0.000000,0.000000,2,10
0.714562,2,0.948550,0.635370,0.000000,0.000000,0.000000,0.000000,2,11
0.800000,7,0.835747,0.631601,109.725643,797.643752,0.367374,1.034665,2,12
0.742810,2,1.002287,0.834618,128.877145,807.043276,0.316336,1.021824,2,13
0.783592,4,0.940440,0.609063,115.699523,903.839257,0.347811,1.036090,2,14
0.771834,6,1.029646,0.892279,114.226716,679.354192,0.358413,1.018177,2,15
0.775119,7,1.034264,0.970775,115.625346,628.839017,0.355842,1.013212,2,16
0.762363,6,1.027875,0.906880,115.629757,687.266356,0.354321,1.017254,2,17
0.736706,5,1.018965,0.500000,0.000000,0.000000,0.000000,0.000000,2,18
0.703502,6,0.885147,0.659161,119.345249,992.901286,0.337678,1.032922,2,19
0.800000,6,1.018707,0.784667,109.681885,696.511811,0.371011,1.024983,2,20
0.775462,3,0.992596,0.616289,124.014393,938.649971,0.324597,1.035633,2,21
0.800000,7,0.964093,0.831334,110.305813,658.482063,0.369968,1.022032,2,22
0.744842,6,0.691724,0.500000,0.000000,0.000000,0.000000,0.000000,2,23
0.736448,3,0.767430,0.627135,121.327108,1002.667985,0.331719,1.034947,2,24
0.689924,5,0.993448,0.925562,0.000000,0.000000,0.000000,0.000000,2,25
0.791142,5,0.911638,0.787496,109.616249,718.424023,0.371218,1.024805,2,26
0.788374,3,0.927110,0.646864,118.837120,872.047837,0.339458,1.033700,2,27
0.670902,6,1.041854,0.731945,126.827125,1011.751322,0.318957,1.028318,2,28
0.786035,5,0.916107,1.020948,0.000000,0.000000,0.000000,0.000000,2,29
0.787150,4,0.952027,0.851164,113.591487,697.048684,0.359609,1.020778,2,30
best fit at iteration 2,113.591487
0.795433,4,0.897964,1.044468,0.000000,0.000000,0.000000,0.000000,3,1
0.762363,6,0.731326,0.766144,0.000000,0.000000,0.000000,0.000000,3,2
0.745121,2,0.998821,0.641138,0.000000,0.000000,0.000000,0.000000,3,3
0.800000,5,1.028049,0.882956,111.041969,649.694491,0.368681,1.018767,3,4
0.758491,7,1.045844,0.817968,116.645476,735.049820,0.349284,1.022877,3,5
0.791908,5,1.050000,0.926277,112.948565,640.030642,0.363395,1.016027,3,6
0.752752,4,1.050000,0.929098,119.298059,708.361021,0.343836,1.015848,3,7
0.777332,6,1.050000,0.866550,113.499068,684.405210,0.360178,1.019804,3,8
0.800000,5,1.002692,0.886770,110.907272,647.826296,0.369227,1.018525,3,9
0.744273,5,0.913798,0.749589,114.851427,831.489130,0.353136,1.027202,3,10
0.780944,4,0.776329,0.667210,110.989956,841.324403,0.363851,1.032413,3,11
0.800000,7,1.050000,0.631601,112.816342,809.999679,0.357330,1.034665,3,12
