D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.775663,2,1.032044,0.682475,129.218177,882.946388,0.312782,1.031447,0,1
0.704799,4,0.944283,0.684122,123.314108,1001.031570,0.327329,1.031343,0,2
0.769549,4,1.015482,0.951585,117.732708,669.930279,0.349019,1.014426,0,3
0.763941,2,0.975031,0.757899,127.352652,830.645125,0.318752,1.026677,0,4
0.789661,2,0.856221,0.872065,124.522450,706.455318,0.328498,1.019456,0,5
0.758421,6,0.904817,0.591092,114.274565,939.613782,0.351578,1.037227,0,6
0.718152,6,1.032207,0.658000,120.224901,966.761507,0.335267,1.032995,0,7
0.709204,4,0.941349,0.777119,122.641157,900.196411,0.331015,1.025461,0,8
0.783466,3,0.971667,0.788309,117.763426,755.885632,0.345510,1.024753,0,9
0.730256,7,0.902381,0.583161,119.006334,1000.944531,0.337242,1.037729,0,10
0.775126,3,0.988890,0.992567,120.959575,648.933764,0.340603,1.011834,0,11
0.779098,4,1.015444,1.018304,118.165326,625.149260,0.349247,1.010206,0,12
0.757644,7,0.969010,0.859928,115.516375,710.480453,0.353588,1.020223,0,13
0.709139,4,0.924949,0.766770,122.403335,909.191491,0.331446,1.026115,0,14
0.712350,3,0.948965,0.725867,127.132923,956.809520,0.318352,1.028703,0,15
0.777993,6,0.802290,0.732274,109.174517,765.649840,0.371363,1.028297,0,16
0.751925,4,1.036750,0.612176,122.224923,978.538481,0.329113,1.035894,0,17
0.765488,3,0.910466,0.662771,120.573617,901.135469,0.334740,1.032693,0,18
0.762108,4,0.923669,0.800075,115.714050,773.045270,0.351713,1.024009,0,19
0.776682,2,0.959677,0.678620,128.073157,883.666161,0.315521,1.031691,0,20
0.772717,7,0.813930,0.603921,112.946672,875.452011,0.356114,1.036416,0,21
0.685284,6,0.991501,0.727016,123.580215,975.571733,0.327351,1.028630,0,22
0.773389,3,0.929312,0.849865,119.430656,732.121993,0.341920,1.020860,0,23
0.751900,3,0.893492,0.613647,123.580653,987.966313,0.325518,1.035800,0,24
0.793366,7,0.896137,0.725476,109.973051,734.773412,0.368624,1.028727,0,25
0.785322,6,0.982002,0.588651,113.047962,892.435007,0.355531,1.037381,0,26
0.775068,3,0.742371,0.618187,115.975404,922.992332,0.347140,1.035513,0,27
0.760805,5,1.007337,0.666960,114.836902,874.748398,0.351504,1.032428,0,28
0.779428,5,0.885929,0.746065,110.307764,766.670154,0.367870,1.027425,0,29
0.751286,2,0.820206,0.643926,128.876356,976.370958,0.312707,1.033885,0,30
0.775663,2,1.020477,0.682475,129.039353,882.660263,0.313208,1.031447,1,1
0.704799,4,0.892889,0.725016,122.378157,957.524207,0.330645,1.028756,1,2
0.769549,4,1.015482,0.649301,117.503919,892.831628,0.343216,1.033545,1,3
0.720170,5,0.975031,0.917302,0.000000,0.000000,0.000000,0.000000,1,4
0.789661,2,1.004256,0.872065,122.585578,698.443898,0.333680,1.019456,1,5
0.692387,7,0.904817,0.591092,0.000000,0.000000,0.000000,0.000000,1,6
0.800000,6,1.032207,0.658000,110.662008,795.247526,0.364861,1.032995,1,7
0.687166,4,0.941349,0.738428,125.612089,990.230838,0.322268,1.027908,1,8
0.783466,3,0.913164,0.788309,117.530218,756.680409,0.346193,1.024753,1,9
0.730256,6,0.902381,0.840093,0.000000,0.000000,0.000000,0.000000,1,10
0.791307,5,0.988890,0.992567,114.284670,612.512534,0.360606,1.011834,1,11
0.779098,4,0.894215,1.018304,0.000000,0.000000,0.000000,0.000000,1,12
