D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.587639,0.88724,0.561291,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.632692,0.779875,0.525107,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.787823,1.021217,0.710944,7.0,86.79471,696.699234,86.79471,,,,,,,,1.0
0.782273,1.015826,0.667423,5.0,86.754863,763.755674,86.754863,,,,,,,,1.0
0.784422,0.821275,0.638401,3.0,89.867238,812.143806,89.867238,,,,,,,,1.0
0.686838,0.8691,0.83204,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.768008,0.963702,0.687379,4.0,88.934441,784.016585,88.934441,,,,,,,,1.0
0.757800,0.97018,0.814315,6.0,87.693464,686.222166,87.693464,,,,,,,,1.0
0.634177,1.01972,1.026269,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.721790,0.874251,0.64708,3.0,96.790664,935.632988,96.790664,,,,,,,,1.0
0.723539,1.029771,0.5,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.773957,0.695126,0.613882,2.0,93.741369,880.099569,93.741369,,,,,,,,1.0
0.764546,0.894923,0.749008,6.0,85.939765,715.08973,85.939765,,,,,,,,1.0
0.665050,1.05,0.686016,6.0,98.50994,990.322714,98.50994,,,,,,,,1.0
0.800000,0.979885,0.7995,2.0,94.161605,672.82304,94.161605,,,,,,,,1.0
0.800000,0.917059,0.851743,5.0,84.27806,611.788021,84.27806,,,,,,,,1.0
0.754813,1.025736,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.753601,0.850787,0.693626,7.0,87.768177,763.002746,87.768177,,,,,,,,1.0
0.728692,1.02683,0.514698,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.706777,0.916791,0.776227,4.0,94.391932,831.874155,94.391932,,,,,,,,1.0
0.759378,0.825757,0.976711,5.0,0.0,0.0,0.0,,,,,,,,1.0
fitness at iteration,2,,,,,83.443603,,,,,,,,1.0
0.686842,0.891904,0.542777,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.783173,0.718952,7.0,83.382888,667.187206,83.382888,,,,,,,,1.0
0.750662,1.009543,0.717117,7.0,89.843281,754.898475,89.843281,,,,,,,,1.0
0.779610,1.05,1.023219,3.0,91.922886,573.880034,91.922886,,,,,,,,1.0
0.800000,0.892228,0.879702,6.0,83.862264,589.777315,83.862264,,,,,,,,1.0
0.752091,0.955847,0.912959,6.0,89.239905,643.68055,89.239905,,,,,,,,1.0
0.800000,0.948228,0.803609,7.0,84.612349,618.686157,84.612349,,,,,,,,1.0
0.693584,1.05,1.087092,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.752917,0.847671,0.722051,5.0,86.800826,766.193463,86.800826,,,,,,,,1.0
0.752917,0.882598,0.561291,5.0,89.96615,923.509851,89.96615,,,,,,,,1.0
0.772327,0.871105,0.753901,3.0,91.04497,737.455326,91.04497,,,,,,,,1.0
0.787823,1.021217,0.554255,7.0,89.166388,845.786047,89.166388,,,,,,,,1.0
0.800000,0.710345,0.725468,7.0,83.123381,662.821677,83.123381,,,,,,,,1.0
0.784422,0.609657,0.568916,7.0,87.262134,806.251866,87.262134,,,,,,,,1.0
0.800000,1.034796,0.83204,5.0,84.942026,622.095916,84.942026,,,,,,,,1.0
0.768008,0.963702,0.687379,4.0,88.934441,784.016585,88.934441,,,,,,,,1.0
0.800000,0.879779,0.853808,6.0,83.471254,601.761153,83.471254,,,,,,,,1.0
0.704203,0.669149,0.667765,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.797591,0.668877,0.64708,6.0,82.335823,728.680002,82.335823,,,,,,,,1.0
0.723539,0.894447,0.654657,6.0,90.002663,870.271867,90.002663,,,,,,,,1.0
0.686842,0.891298,0.613882,3.0,101.957433,1067.488325,101.957433,,,,,,,,1.0
0.764546,1.0011,0.790246,6.0,87.289837,690.124959,87.289837,,,,,,,,1.0
0.665050,0.715005,0.698999,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.991886,0.7995,7.0,85.175697,621.469612,85.175697,,,,,,,,1.0
0.800000,0.888664,0.698051,5.0,83.195428,704.271664,83.195428,,,,,,,,1.0
0.754813,0.929966,0.566118,5.0,90.641362,918.43809,90.641362,,,,,,,,1.0
0.800000,0.850787,0.595592,7.0,85.370474,765.220873,85.370474,,,,,,,,1.0
0.800000,0.998125,0.992417,3.0,90.480461,562.342689,90.480461,,,,,,,,1.0
0.706777,0.916791,0.776227,7.0,92.884489,793.842216,92.884489,,,,,,,,1.0
0.800000,0.93724,0.784371,7.0,84.472768,629.209773,84.472768,,,,,,,,1.0
fitness at iteration,3,,,,,83.443603,,,,,,,,1.0
0.686842,0.891904,0.712347,6.0,93.539406,900.957442,93.539406,,,,,,,,1.0
0.800000,0.633881,0.85328,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.787538,0.758305,0.657882,4.0,84.673349,767.792192,84.673349,,,,,,,,1.0
0.779610,0.712574,1.023219,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.892228,0.5,6.0,88.992946,890.114078,88.992946,,,,,,,,1.0
0.709474,0.82835,0.912959,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.948228,0.787767,6.0,83.591154,636.385684,83.591154,,,,,,,,1.0
0.800000,0.919667,0.702751,3.0,89.282076,730.552595,89.282076,,,,,,,,1.0
0.752917,1.017211,0.694718,6.0,88.640171,780.446894,88.640171,,,,,,,,1.0
0.798251,0.764147,0.561291,5.0,84.225475,821.469909,84.225475,,,,,,,,1.0
0.772327,0.779875,0.931175,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.787823,1.021217,0.710944,7.0,86.79471,696.699234,86.79471,,,,,,,,1.0
0.800000,1.05,0.78802,6.0,84.838658,637.968272,84.838658,,,,,,,,1.0
0.762334,0.609657,1.011617,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.676286,0.864916,0.83204,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.768008,0.741319,0.621941,4.0,86.402349,835.426462,86.402349,,,,,,,,1.0
0.639846,1.05,0.853808,4.0,103.980552,930.641795,103.980552,,,,,,,,1.0
0.652243,1.005129,0.667765,2.0,113.437349,1125.836329,113.437349,,,,,,,,1.0
0.797591,0.849229,0.64708,6.0,83.233876,734.189665,83.233876,,,,,,,,1.0
0.723539,0.934047,0.654657,6.0,90.503751,872.338023,90.503751,,,,,,,,1.0
0.773957,0.891298,0.613882,7.0,87.310306,796.121653,87.310306,,,,,,,,1.0
0.764546,0.680995,0.873639,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.665050,0.869882,0.714375,5.0,96.243644,969.563034,96.243644,,,,,,,,1.0
0.800000,0.773379,0.657402,4.0,83.848176,747.159831,83.848176,,,,,,,,1.0
0.800000,0.673989,0.921623,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.754813,0.929966,0.648195,5.0,88.05121,827.929475,88.05121,,,,,,,,1.0
0.681794,0.936944,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.998125,0.992417,5.0,87.042668,550.863427,87.042668,,,,,,,,1.0
0.706777,0.622723,0.776227,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.652243,1.05,0.613312,7.0,0.0,0.0,0.0,,,,,,,,1.0
fitness at iteration,4,,,,,83.443603,,,,,,,,1.0
0.790258,0.891904,0.712347,7.0,84.951372,688.112562,84.951372,,,,,,,,1.0
0.800000,0.783173,0.838994,4.0,85.370611,630.495104,85.370611,,,,,,,,1.0
0.752917,0.909598,0.657882,7.0,88.659544,795.846539,88.659544,,,,,,,,1.0
0.800000,1.05,1.023219,3.0,90.034764,547.868856,90.034764,,,,,,,,1.0
0.800000,0.892228,0.879702,6.0,83.862264,589.777315,83.862264,,,,,,,,1.0
0.800000,0.974275,0.912959,6.0,84.96312,574.945764,84.96312,,,,,,,,1.0
0.800000,0.803178,0.55352,3.0,91.051987,873.619549,91.051987,,,,,,,,1.0
0.800000,0.919667,0.588809,3.0,93.039507,841.358362,93.039507,,,,,,,,1.0
0.800000,0.847671,0.709319,3.0,88.284127,724.603339,88.284127,,,,,,,,1.0
0.736422,0.764147,0.543309,5.0,90.001297,971.798333,90.001297,,,,,,,,1.0
0.772327,0.779875,0.588227,3.0,91.131999,886.375046,91.131999,,,,,,,,1.0
0.800000,1.021217,0.710944,7.0,85.801175,677.763308,85.801175,,,,,,,,1.0
0.800000,0.811593,0.725468,6.0,82.285938,672.525249,82.285938,,,,,,,,1.0
0.800000,0.754399,0.821469,7.0,83.085475,609.710835,83.085475,,,,,,,,1.0
0.800000,0.883578,0.754373,6.0,82.854043,655.301606,82.854043,,,,,,,,1.0
0.768008,0.741319,0.621941,4.0,86.402349,835.426462,86.402349,,,,,,,,1.0
0.800000,0.879779,0.764134,6.0,82.854628,649.398765,82.854628,,,,,,,,1.0
0.704850,1.01972,0.636715,6.0,94.039869,940.371657,94.039869,,,,,,,,1.0
0.797591,0.668877,0.5,7.0,88.889442,857.805178,88.889442,,,,,,,,1.0
0.787831,1.038472,0.787759,6.0,85.707417,655.781434,85.707417,,,,,,,,1.0
0.800000,0.891298,0.743892,7.0,84.039412,652.638571,84.039412,,,,,,,,1.0
0.764546,0.864511,0.790246,6.0,85.873393,688.740417,85.873393,,,,,,,,1.0
