D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.784018,3,1.013637,0.911195,118.266176,675.609104,0.346664,1.016981,0,1
0.740832,5,1.038361,0.917314,119.131705,727.849781,0.343961,1.016594,0,2
0.753651,6,1.037992,0.712095,115.338658,834.273992,0.350891,1.029574,0,3
0.780445,7,0.765441,0.603919,111.943438,857.514302,0.359351,1.036416,0,4
0.732170,7,0.995181,0.709883,118.736831,866.608816,0.340670,1.029714,0,5
0.790941,2,1.025794,0.763057,123.901515,775.712219,0.327919,1.026350,0,6
0.752810,4,0.931860,0.880007,118.375734,738.818873,0.345450,1.018953,0,7
0.756472,4,0.846078,0.658060,115.094824,902.373341,0.350494,1.032991,0,8
0.695390,4,0.885451,0.682495,123.654373,1025.668775,0.326330,1.031446,0,9
0.777677,2,0.985698,1.004839,124.490355,644.052504,0.331229,1.011058,0,10
0.768885,2,1.001493,0.730514,127.506506,846.119239,0.317868,1.028409,0,11
0.789096,3,0.944455,0.603618,121.649558,921.910173,0.330729,1.036435,0,12
0.768430,3,0.800277,0.703707,117.623948,853.552279,0.344001,1.030104,0,13
0.764859,4,0.759088,0.668631,112.568689,872.003760,0.358671,1.032323,0,14
0.793771,5,0.844510,0.593855,109.872639,873.672368,0.365995,1.037052,0,15
0.770254,5,0.942394,0.671814,112.385752,847.241000,0.359367,1.032121,0,16
0.704074,4,0.968542,0.678984,123.942156,1009.759375,0.325565,1.031668,0,17
0.783451,4,0.781491,0.691480,110.767857,815.640390,0.365139,1.030878,0,18
0.736888,2,0.969332,0.902147,130.186485,772.018097,0.314455,1.017553,0,19
0.742703,6,0.832284,0.581801,115.249880,980.852389,0.348322,1.037815,0,20
0.718928,4,0.927393,0.794020,121.360548,864.544200,0.334926,1.024392,0,21
0.744611,6,0.914884,0.592677,115.991670,970.298602,0.346334,1.037127,0,22
0.789947,6,0.984842,0.968850,112.917715,616.486688,0.364438,1.013334,0,23
0.761619,5,0.982024,0.845429,114.575608,732.544456,0.356201,1.021140,0,24
0.799661,7,0.854530,0.638521,109.787378,792.789455,0.367334,1.034227,0,25
0.767331,6,0.911676,0.695197,111.599911,816.749489,0.362386,1.030642,0,26
0.751279,6,1.008878,0.659649,115.522213,887.361321,0.349188,1.032891,0,27
0.708278,3,1.046562,0.802538,127.559255,893.478513,0.318749,1.023853,0,28
0.778642,2,0.921714,0.918847,125.605585,692.383747,0.326522,1.016497,0,29
0.755773,5,0.748127,0.591969,112.396810,949.559420,0.357462,1.037172,0,30
0.784018,5,1.050000,0.911195,113.585360,659.239084,0.360947,1.016981,1,1
0.740832,5,1.038361,0.666801,117.938823,920.165897,0.342109,1.032438,1,2
0.780899,6,1.037992,0.651937,112.939225,836.946808,0.357227,1.033379,1,3
0.780445,7,0.967973,0.603919,113.809198,870.188115,0.353451,1.036416,1,4
0.698924,4,0.995181,0.719643,124.597758,979.749906,0.324605,1.029096,1,5
0.744919,5,0.647074,0.763057,0.000000,0.000000,0.000000,0.000000,1,6
0.800000,4,0.931860,0.880007,112.573321,661.464318,0.363616,1.018953,1,7
0.687887,4,1.050000,0.658060,0.000000,0.000000,0.000000,0.000000,1,8
0.766723,7,0.885451,0.682495,112.988691,816.106998,0.357643,1.031446,1,9
0.777677,2,0.973624,0.650683,129.785978,913.901459,0.310824,1.033458,1,10
0.728000,2,0.815239,0.730514,0.000000,0.000000,0.000000,0.000000,1,11
0.789096,6,0.944455,0.509974,0.000000,0.000000,0.000000,0.000000,1,12
0.768430,3,0.800277,0.787898,0.000000,0.000000,0.000000,0.000000,1,13
0.764859,7,0.908911,0.691134,113.433312,813.097175,0.356417,1.030899,1,14
0.800000,7,1.050000,0.920755,112.402538,614.711957,0.365073,1.016376,1,15
