D = propeller diameter [m],AEdAO = expanded area ratio,PdD = pitch ratio,Z = propeller's number of blades,P_B = power brake,n = Propeller angular speed [rpm],fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.7493233997228248,0.46197770442316416,0.6396209251367199,2,181.72413639491992,0,-410.72935829848467,0.016,0.013702918853522398,0.21027429921380425,0.10016104768655142,45.271922688179174,39.0,1.2601805486415645,False
0.7007682780258785,0.42169157396012535,0.700431546787729,2,193.0607037893477,0,-549.0089695033682,0.016,0.014256814721182945,0.2666563823713603,0.09953894429945107,45.42706427208962,39.0,1.8437116343593287,False
0.7488632089371019,0.6016823399244814,0.7311335793334198,2,194.64764935796794,0,-336.98173558771884,0.016,0.014109099247729469,0.20097193364421706,0.11968091716959729,41.0283298638456,39.0,0.7312396871949405,False
0.6866778201346841,0.5259311169140501,0.6890123115532956,2,203.3058567392791,0,-490.59401035442005,0.016,0.014573685490432886,0.21473353317983876,0.09638805443122808,46.22596563650846,39.0,1.4130835098546195,False
0.6617526145237982,0.5472130158955475,0.6424161096002596,2,209.11608127208254,0,-545.5517472343413,0.016,0.014781518080095288,0.18910414290735825,0.08118459913447762,49.9019004509646,39.0,1.608846454637411,False
fitness at iteration,0,,,,,-336.98173558771884
0.7654730654869449,0.5943940432281001,0.69067508794237,2,188.77959662260722,0,-316.34926359049297,0.016,0.013855395317626537,0.18451123936030056,0.11524430931272328,41.91390718210093,39.0,0.6757598238908871,False
0.7016028235047816,0.5410680584349331,0.6412615063527812,2,198.16664002315028,0,-450.9916212178849,0.016,0.014318410442674614,0.18657235614299186,0.09072208725075519,47.552458924630855,39.0,1.2758200934587127,False
0.5689963308643863,0.5268252413677377,0.6144630173461341,2,236.52513530350942,0,-951.6226388083743,0.016,0.015900488123667973,0.19269815499919074,0.05476064936846272,58.67277877499571,39.0,3.0233467685675377,False
0.6786056421972504,0.49572721034991585,0.7253206247136067,2,205.86166637948668,0,-537.7699842692588,0.016,0.014698443559183039,0.24512328798255928,0.10002778880388419,45.307712327179,39.0,1.6122881142812195,False
0.5641944207150396,0.3632407930707753,0.5444027144758425,2,221.66332779147677,0,-1323.389089797507,0.016,0.015448356977086785,0.23241439957752333,0.04369029925840232,64.37644555824942,39.0,4.970266272653121,False
fitness at iteration,1,,,,,-316.34926359049297
0.7848953780346932,0.6415912025804711,0.728272633579568,2,188.57972779223738,0,-273.8174891963146,0.016,0.013801925336083157,0.18464749748623296,0.12820350491312985,39.45746306428157,39.0,0.4519985387718117,False
0.7506145307235437,0.5941448105278622,0.6939119415994741,2,192.11083923533275,0,-336.8145219453025,0.016,0.014006313840938665,0.18746083168506802,0.11262834507260003,42.46361046462901,39.0,0.7532301836061942,False
0.7964653019884949,0.6659729083424223,0.7386987082898029,2,187.64485331845617,0,-255.33906181063537,0.016,0.013739294731276767,0.18129683046689132,0.13323232614244634,38.538024387574154,39.0,0.36075707537415846,False
0.7706851584089056,0.5137634551309149,0.634284819841488,2,180.66915839999874,0,-347.08378304410974,0.016,0.013571602688804748,0.1856943019723183,0.10407841992429902,44.34006162705622,39.0,0.9211014548242461,False
0.7704670427144995,0.5870201599188845,0.5753906565267689,2,185.018664927202,0,-323.82014215509355,0.016,0.013549187976976764,0.140766325326735,0.09162769003389791,47.34275122644097,39.0,0.7502025662248984,False
fitness at iteration,2,,,,,-255.33906181063537
0.784196866995314,0.7256552678316264,0.7789575640293487,2,193.47975290431023,0,-255.75529073493018,0.016,0.013970542463528243,0.1839964141008112,0.13919391709632392,37.41579139988669,39.0,0.32187108416155413,False
0.7926804121514744,0.7604368088966591,0.6945607750441087,2,190.84861583908938,0,-230.63327245347435,0.016,0.013781661229845591,0.14525688311852264,0.1235762144600747,40.28770795794074,39.0,0.2084618556936702,False
0.7945437396375757,0.7547975146570386,0.6425969679291412,2,190.46669772795534,0,-236.75578268238885,0.016,0.013669788994306846,0.1284270600573778,0.11173716869521311,42.65283356110289,39.0,0.2430298078698695,False
0.7999307670110879,0.7815465765289344,0.5911768657751516,2,193.16863825706415,0,-238.12875960691372,0.016,0.01356767335993243,0.10729596440783667,0.10011652742328377,45.28055291164463,39.0,0.23275062533710947,False
0.7999138738254581,0.5635206257065976,0.7145173809359141,2,181.23577663786187,0,-287.32265657943384,0.016,0.013544639875742889,0.2002295990186687,0.12749644387161718,39.580352318580594,39.0,0.5853528586331526,False
fitness at iteration,3,,,,,-230.63327245347435
0.7775956971726982,0.8547961117182524,0.7019232071514294,2,196.8887288703991,0,-221.92701747129126,0.016,0.013999273877909326,0.13330762152150596,0.12244449360040578,40.49958688478707,39.0,0.12716974071874632,False
0.7975988463608151,0.6616324832596522,0.6700880512546598,2,185.1412692772445,0,-254.9942866777083,0.016,0.013596304445887502,0.15616466321155523,0.11840161420591956,41.27586238323481,39.0,0.377295768108085,False
0.7945410927578765,0.7252900379896754,0.7616856067720825,2,190.78157982355543,0,-243.8238551137155,0.016,0.01384742896616513,0.17641564032126855,0.13803757860517268,37.62714775381777,39.0,0.27802618753454234,False
0.7970616857730869,0.844474533709097,0.5008163915151523,2,214.23347928257223,0,-290.4904865688453,0.016,0.013619416642762911,0.07360196552559457,0.07248184306005406,52.279459710677365,39.0,0.35595280224941284,False
0.7955855733257685,0.8730777828564935,0.5922447603780169,2,200.46977064091612,0,-234.5759531801853,0.016,0.013708568589633471,0.09566919597068545,0.09868595747110952,45.63512067070732,39.0,0.17013129924890572,False
fitness at iteration,4,,,,,-221.92701747129126
0.7816721480505522,0.8350281483688141,0.7416042515563452,2,195.42221889239858,0,-220.23839918312876,0.016,0.014006930780640364,0.1494229158238036,0.13258613335351868,38.66630522607831,39.0,0.12698750649430632,False
0.7997806368817973,1.0350645999734887,0.8815356705800806,2,189.6272987328853,0,-189.6272987328853,0.016,0.013959974108018794,0.16485264225235777,0.1674826135171267,32.7968253260293,39.0,0,True
0.7743811691160079,0.8991380605156091,0.6075247285954328,2,204.49468926886686,0,-239.6297738600956,0.016,0.013937351442144539,0.09830787551923847,0.0984283496661527,45.70075249365674,39.0,0.17181416650401907,False
0.7950989171568228,0.8919492125945762,0.7203039201402786,2,194.05517774543628,0,-195.88139490952773,0.016,0.01388182174312849,0.13230927961324834,0.1310757501220484,38.96423731174436,39.0,0.009410813899988199,False
