D = propeller diameter [m],AEdAO = expanded area ratio,PdD = pitch ratio,Z = propeller's number of blades,P_B = power brake,n = Propeller angular speed [rpm],fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.5,0.9480003815172604,0.7654934092167385,3,218.11012502345602,0,-533.7611312356603,0.01475,0.015202411066424865,0.1708490465035739,0.08018749753422726,50.18639532246048,39.0,1.4472093222552531,False
0.5,1.0475555723330061,0.5921286187552981,3,226.5475922291773,0,-593.2690863254494,0.01475,0.014928849863174425,0.09811819761027353,0.04846883012223267,61.713698827117916,39.0,1.6187393142774775,False
0.5,1.039154938556885,0.7291348824714219,3,217.6087818219143,0,-503.92252239568234,0.01475,0.01514563574334056,0.14394951013604004,0.07357574006372383,51.991845145703934,39.0,1.3157269581522688,False
0.6424131535172101,1.0126919923017441,0.6495058435516168,3,178.9685040778111,0,-235.3439571683117,0.01475,0.013217965188559926,0.11058932362780319,0.09738417063134211,45.99673785037767,39.0,0.31500209146292,False
0.5711698118894443,0.9445368579564746,0.8007311093378415,3,194.66396091987568,0,-336.8518081860499,0.01475,0.014224887298814758,0.17762283026484593,0.1094361429030546,43.18681946326133,39.0,0.7304271761155585,False
0.5538579341207588,0.9585447196091731,0.667509829683397,3,199.95105126614567,0,-397.04153490054176,0.01475,0.014258677360821266,0.1298146171056344,0.07729936330293949,50.946428333545356,39.0,0.9856936604552179,False
0.5,1.05,0.5301138809737953,3,239.3579771731622,0,-677.5980420239946,0.01475,0.014873741475670901,0.07952603154680016,0.038243048449649354,67.98046226841355,39.0,1.8308980967606951,False
0.791772821612914,0.9867072432302539,0.5863593408984555,3,157.57262306773816,0,-170.63131377925768,0.01475,0.01187912064779058,0.086096247278162,0.11384767490797283,42.23209024406685,39.0,0.08287410882222701,False
0.5,0.9378804144708075,0.6250913344927514,3,219.37767919372925,0,-601.9779911402512,0.01475,0.014940408066677896,0.12239617741627326,0.05493050112213205,58.620142240499504,39.0,1.7440257065015865,False
0.5,1.034289552084093,0.5,3,247.7426433526659,0,-740.9996422599907,0.01475,0.014860085317992948,0.07259803640249811,0.033738765798556135,71.441305015645,39.0,1.9910056348481147,False
fitness at iteration,0,,,,,-170.63131377925768
0.6884064426970655,1.0180350081067409,0.9064780305577594,3,166.88411918320642,0,-195.44019704470722,0.01475,0.012983103068387188,0.19116970562329214,0.1632375960517379,33.470049577863094,39.0,0.17111321317609451,False
0.6231307692508312,0.8029092850431663,0.8772367120033872,3,183.69900524821972,0,-310.14234891801726,0.01475,0.013648330608220658,0.23084968867213143,0.13673353000283606,37.90794586742558,39.0,0.6883180641013457,False
0.7718916605784204,0.8948896032169832,0.5773638766970581,3,156.30632561600999,0,-173.24865933097385,0.01475,0.01195230340370795,0.0953206547700868,0.10920832436131583,43.227282627747414,39.0,0.10839186224993369,False
0.7974079631691691,1.05,0.7971416918721618,3,147.28222360252053,0,-147.28222360252053,0.01475,0.011986342803673583,0.13901298703654674,0.16817490045465883,32.733334413049846,39.0,0,True
0.7421684232250512,0.9652258814988528,0.6080691682003496,3,161.53676196987254,0,-178.20128382133237,0.01475,0.012250624390350136,0.09745461765521167,0.11017247833126859,43.02333403419431,39.0,0.10316241113318753,False
0.5,0.7872015183229248,0.5654894383026888,3,216.1513927245928,0,-715.3347578903258,0.01475,0.014730258133359366,0.12518178410111258,0.04639011283243618,62.827329482646384,39.0,2.309415446615987,False
0.5843221427998694,0.8502920091804654,0.6598093988801276,3,188.76258234729895,0,-363.1282734870302,0.01475,0.013818976501363723,0.1414569136582473,0.08483655908076652,48.996676399794424,39.0,0.9237301639523067,False
0.6811146385269842,0.827956536789936,0.7339854104643516,3,165.68817790330027,0,-217.12778434745093,0.01475,0.012876789885053674,0.1634934355784537,0.12665526501356228,39.76465300614135,39.0,0.31046033033311565,False
0.6576842228188531,0.8721376403357279,0.8787404649655242,3,174.88858371447307,0,-249.9273031797284,0.01475,0.013283655438873476,0.21151975029715883,0.14801259840949446,35.933741166893824,39.0,0.42906585365094585,False
0.7214924902933678,0.8682044080507969,0.5680015624961438,3,163.75449022986157,0,-197.3129505616573,0.01475,0.012323127134447363,0.09910938159290117,0.09692196781209604,46.11214645874193,39.0,0.20493154285228948,False
fitness at iteration,1,,,,,-147.28222360252053
0.8,0.9881059034240142,0.8332382884265017,3,146.9997553658873,0,-146.9997553658873,0.01475,0.011988471073716448,0.1589176552781714,0.175871017968169,31.58167633740364,39.0,0,True
0.7653679403303325,1.0051703252458795,0.8535884848054578,3,152.3875090161502,0,-152.3875090161502,0.01475,0.012272255028304835,0.16652331887435667,0.17245128037408974,32.11279672559655,39.0,0,True
0.7352411150166659,0.9411571444984143,0.7962399028379447,3,157.11238826041983,0,-164.1893283936616,0.01475,0.012480514333524578,0.16032049364980872,0.15341030924993596,35.037781665217636,39.0,0.04504380724905973,False
0.7847225169621721,1.05,0.911086645070734,3,149.30755213226476,0,-149.30755213226476,0.01475,0.012135124860135927,0.17681868579434848,0.1875750182579732,29.902903440538868,39.0,0,True
0.8,1.021444125611883,0.8604384904225878,3,146.9854059224698,0,-146.9854059224698,0.01475,0.012002605842858019,0.1627642286038848,0.18122126723385507,30.78779529911126,39.0,0,True
0.6894509068811672,1.05,0.976114695064418,3,167.18552153236033,0,-200.54876174436703,0.01475,0.012979901056366414,0.21098297474631345,0.175883901553942,31.58599921986793,39.0,0.1995581908421952,False
