D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.737281,0.786965,1.045031,3.0,100.425323,643.130159,100.425323,0.01475,0.011533,0.286172,0.231581,24.827365,39.0,0.23573177419563768,0.0
0.551741,0.434159,1.010873,5.0,119.685582,1156.487562,119.685582,0.01225,0.01145,0.519464,0.164096,33.409888,39.0,2.165610374414977,0.0
0.734039,1.05,1.02353,4.0,95.314193,636.049327,95.314193,0.0135,0.010714,0.221769,0.235246,24.446052,39.0,0.0,1.0
0.749627,0.759991,1.193029,6.0,95.508428,556.491509,95.508428,0.011,0.009499,0.383279,0.263692,21.842508,39.0,0.45351015578781306,0.0
0.682885,0.314661,1.254433,4.0,110.173667,730.981807,110.173667,0.0135,0.010668,0.80436,0.219724,26.13682,39.0,2.6607744260981954,0.0
0.543081,0.3,1.4,7.0,143.812299,1058.74563,143.812299,0.00975,0.010245,1.067465,0.186695,30.106102,39.0,4.766010887465824,0.0
0.762092,0.888148,1.4,4.0,104.160284,494.874823,104.160284,0.0135,0.010218,0.409863,0.290881,19.747007,39.0,0.40904012293687103,0.0
0.582649,0.903789,0.5,4.0,118.936595,1655.474152,118.936595,0.0135,0.011608,0.086265,0.079114,50.504305,39.0,0.38537073271416833,0.0
0.698657,0.343278,0.614954,2.0,88.999459,1071.926871,88.999459,0.016,0.012324,0.266067,0.13014,39.212815,39.0,1.0499242914139801,0.0
0.664961,0.455623,1.38868,4.0,121.368387,707.154211,121.368387,0.0135,0.010775,0.686583,0.233581,24.621186,39.0,1.939378630967416,0.0
0.523667,0.8033,0.682565,4.0,119.765337,1591.998818,119.765337,0.0135,0.012392,0.168713,0.107518,43.651246,39.0,0.6884232306070635,0.0
0.535869,0.678532,0.988071,5.0,122.753264,1194.889469,122.753264,0.01225,0.011745,0.348219,0.163329,33.526278,39.0,1.1320096247451463,0.0
0.588861,0.840027,1.068135,4.0,118.816515,948.745722,118.816515,0.0135,0.011952,0.310289,0.193138,29.252389,39.0,0.6065662893889342,0.0
0.521904,0.797912,0.582468,3.0,125.966996,1835.858312,125.966996,0.01475,0.013275,0.126514,0.080416,50.168194,39.0,0.8596080792392378,0.0
0.606702,0.799974,1.14356,7.0,111.803094,833.570225,111.803094,0.00975,0.010161,0.380751,0.216492,26.479881,39.0,0.7991788894655478,0.0
0.535872,0.887969,1.093808,6.0,125.717835,1091.482548,125.717835,0.011,0.011269,0.327577,0.182956,30.625022,39.0,0.8143395425728743,0.0
0.551968,0.633557,0.845529,6.0,112.669456,1219.890742,112.669456,0.011,0.011003,0.305927,0.152529,35.25601,39.0,1.0059699301519245,0.0
0.500000,0.691596,1.188988,4.0,146.022455,1247.186212,146.022455,0.0135,0.012904,0.438678,0.169302,32.651259,39.0,1.5910975652975157,0.0
0.669892,0.405337,0.959079,4.0,100.430848,839.78523,100.430848,0.0135,0.010989,0.472596,0.191528,29.455867,39.0,1.467503445971346,0.0
fitness at iteration,1,,,,,101.607808,,,,,,,,0.0
0.756693,0.926981,0.682567,3.0,93.575087,825.827313,93.575087,0.01475,0.01121,0.121651,0.168748,32.719553,39.0,0.0,1.0
0.508971,0.467876,1.239434,7.0,138.310804,1184.281064,138.310804,0.00975,0.01088,0.678571,0.176552,31.560675,39.0,2.947322843394914,0.0
0.628781,0.337778,1.317044,4.0,122.950545,836.480482,122.950545,0.0135,0.011059,0.816175,0.206996,27.539346,39.0,2.9429505884171667,0.0
0.786359,0.586839,1.4,3.0,107.074213,498.049983,107.074213,0.01475,0.010767,0.540527,0.280893,20.506531,39.0,0.9243163766986005,0.0
0.690909,1.042351,0.762214,7.0,96.56211,841.346848,96.56211,0.00975,0.009647,0.153533,0.184244,30.436471,39.0,0.0,1.0
0.500000,0.82255,1.214636,6.0,140.183745,1186.05625,140.183745,0.011,0.011576,0.410339,0.17998,31.05088,39.0,1.329672555186006,0.0
0.500000,0.482992,0.994008,2.0,147.49196,1481.78274,147.49196,0.016,0.015627,0.422845,0.132436,38.792981,39.0,2.1928252136881214,0.0
0.693375,1.004971,0.5,5.0,104.522903,1197.677838,104.522903,0.01225,0.010155,0.073123,0.108272,43.481748,39.0,0.11491661538461546,0.0
0.602434,0.3,0.859125,7.0,106.634973,1044.217018,106.634973,0.00975,0.010162,0.620102,0.167278,32.938133,39.0,2.747557870347193,0.0
0.597677,0.3,1.092833,5.0,113.893389,984.202703,113.893389,0.01225,0.010884,0.766667,0.181697,30.799927,39.0,3.2194807839424975,0.0
0.692249,0.431052,0.794435,6.0,92.395033,837.058804,92.395033,0.011,0.009845,0.37521,0.184936,30.340088,39.0,1.028864039451486,0.0
0.737281,0.786965,1.375879,6.0,104.304176,532.416359,104.304176,0.011,0.009412,0.455003,0.280343,20.553375,39.0,0.6230225117088708,0.0
0.596922,0.681126,1.010873,5.0,112.140516,959.790017,112.140516,0.01225,0.011135,0.34861,0.187474,29.998008,39.0,0.859511185551063,0.0
0.628548,1.05,1.02353,6.0,107.672389,833.358061,107.672389,0.011,0.010479,0.243504,0.207979,27.426389,39.0,0.1708105145231009,0.0
0.500000,0.945912,0.592124,5.0,125.125398,1900.128511,125.125398,0.01225,0.011879,0.118738,0.082087,49.745248,39.0,0.7220088794396688,0.0
0.682005,1.0023,1.142613,2.0,106.033001,679.171897,106.033001,0.016,0.013268,0.283791,0.237171,24.253024,39.0,0.19656703391224065,0.0
0.699872,1.05,0.895177,7.0,96.392367,734.594035,96.392367,0.00975,0.009635,0.195646,0.212417,26.919347,39.0,0.0,1.0
0.595915,1.05,0.780115,4.0,109.82756,1135.22223,109.82756,0.0135,0.011782,0.153722,0.151557,35.421257,39.0,0.014285054467955952,0.0
0.582649,0.728877,1.251627,2.0,136.045745,903.421206,136.045745,0.016,0.014424,0.432998,0.206828,27.561083,39.0,1.0935173187382752,0.0
0.535910,0.405273,0.830623,2.0,125.578979,1465.978408,125.578979,0.016,0.014702,0.372762,0.119586,41.135634,39.0,2.171863854984311,0.0
0.687462,0.989883,1.145563,3.0,105.380427,670.46433,105.380427,0.01475,0.011883,0.285657,0.238358,24.13366,39.0,0.1984368051418455,0.0
0.531508,0.484907,0.80482,2.0,128.410439,1494.322962,128.410439,0.016,0.014891,0.307983,0.117293,41.586513,39.0,1.6920785640057217,0.0
0.670347,0.748265,0.5,6.0,98.239036,1196.622488,98.239036,0.011,0.00982,0.112761,0.115229,42.000566,39.0,0.07693758974358972,0.0
0.588861,0.3,1.050602,2.0,122.025439,1111.369508,122.025439,0.016,0.013879,0.632777,0.158535,34.266518,39.0,2.9914025294099096,0.0
0.521904,0.797912,1.4,3.0,149.573831,1025.373929,149.573831,0.01475,0.013329,0.501425,0.202983,28.020222,39.0,1.4702807624283807,0.0
0.571317,0.900039,1.215145,6.0,123.702284,911.034706,123.702284,0.011,0.010852,0.369246,0.20952,27.252763,39.0,0.7623424971363115,0.0
0.566586,0.463923,0.89308,4.0,114.619899,1189.731573,114.619899,0.0135,0.011959,0.400166,0.152297,35.295048,39.0,1.6275369836569338,0.0
0.663932,1.038331,0.553541,2.0,123.684539,1291.047154,123.684539,0.016,0.013428,0.0736,0.102105,44.881202,39.0,0.15080005128205132,0.0
0.707927,0.3,0.548709,4.0,89.186984,1037.452266,89.186984,0.0135,0.010459,0.303028,0.134126,38.455232,39.0,1.2592785887896458,0.0
0.632111,0.405337,0.984254,2.0,115.626021,972.849805,115.626021,0.016,0.013622,0.449754,0.172372,32.198671,39.0,1.6092056714547607,0.0
fitness at iteration,2,,,,,101.607808,,,,,,,,0.0
0.733245,0.926981,0.682567,6.0,89.253641,825.469059,89.253641,0.011,0.009584,0.138235,0.175618,31.691924,39.0,0.0,1.0
0.765167,0.467876,1.337996,7.0,98.556163,520.342991,98.556163,0.00975,0.008885,0.681819,0.276438,20.847046,39.0,1.466444555379506,0.0
0.628781,0.595262,0.68215,2.0,108.960214,1196.621113,108.960214,0.016,0.013546,0.191924,0.129083,39.396213,39.0,0.4969856132476482,0.0
0.752306,0.573987,0.982169,3.0,96.713552,663.33398,96.713552,0.01475,0.011324,0.334725,0.219763,26.129148,39.0,0.5231180863020618,0.0
0.690909,0.794449,0.762214,7.0,93.359944,837.330947,93.359944,0.00975,0.009582,0.20335,0.185291,30.291192,39.0,0.09746290969340114,0.0
0.743050,0.599004,1.214636,5.0,99.352655,580.458359,99.352655,0.01225,0.009917,0.467014,0.254898,22.583321,39.0,0.8321603151064346,0.0
0.691054,0.493381,0.994008,6.0,95.984017,737.315455,95.984017,0.011,0.009866,0.446693,0.214605,26.678664,39.0,1.0814659490692202,0.0
0.693375,0.3,1.065839,5.0,98.605181,745.781472,98.605181,0.01225,0.010157,0.72291,0.211033,27.07563,39.0,2.4255779901721533,0.0
0.618756,1.05,1.4,5.0,124.33699,719.840647,124.33699,0.01225,0.010734,0.38533,0.246777,23.321375,39.0,0.5614502161870839,0.0
0.597677,0.886275,1.013854,6.0,110.956767,926.838389,110.956767,0.011,0.010692,0.285776,0.195068,29.004752,39.0,0.465007074456087,0.0
0.766194,0.431052,0.98668,4.0,90.50371,638.996193,90.50371,0.0135,0.010322,0.446121,0.224125,25.635151,39.0,0.9905008365867262,0.0
0.770125,0.551342,0.961631,7.0,86.603785,599.421641,86.603785,0.00975,0.0091,0.384572,0.237938,24.170884,39.0,0.6162697845657272,0.0
0.762410,0.434159,1.010873,6.0,88.845395,611.934422,88.845395,0.011,0.009412,0.495002,0.235405,24.428229,39.0,1.1027675707822686,0.0
0.744540,1.05,1.02353,4.0,94.186437,619.761855,94.186437,0.0135,0.01064,0.220368,0.238053,24.160819,39.0,0.0,1.0
0.684727,0.945912,0.592124,2.0,112.644294,1139.979977,112.644294,0.016,0.013143,0.092183,0.120936,40.870832,39.0,0.047970051282051285,0.0
0.794091,1.05,0.986659,5.0,87.644484,559.811215,87.644484,0.01225,0.00977,0.205425,0.247154,23.276104,39.0,0.0,1.0
0.699872,0.536875,0.858626,7.0,92.455643,766.211131,92.455643,0.00975,0.009511,0.348857,0.202426,28.077962,39.0,0.7233803957989585,0.0
0.762092,0.888148,1.390499,4.0,103.895443,496.886316,103.895443,0.0135,0.010234,0.405484,0.289819,19.827271,39.0,0.39909391723800036,0.0
0.531044,0.728877,1.101654,6.0,126.536708,1122.102466,126.536708,0.011,0.011263,0.392734,0.178948,31.200518,39.0,1.2180330486999411,0.0
0.698657,0.343278,0.786154,5.0,91.348292,849.35407,91.348292,0.01225,0.010167,0.440181,0.179784,31.070743,39.0,1.4483880656788146,0.0
0.500000,0.989883,0.529893,3.0,142.424602,2181.533963,142.424602,0.01475,0.013635,0.084892,0.058622,57.112426,39.0,0.9125464566868655,0.0
0.524429,0.404131,1.377774,2.0,164.520082,1170.682048,164.520082,0.016,0.014753,0.742772,0.172735,32.145796,39.0,3.30006657596897,0.0
0.500000,0.3,0.924593,6.0,125.942748,1468.73176,125.942748,0.011,0.011436,0.679936,0.134184,38.451308,39.0,4.105316537990246,0.0
0.664578,0.793102,1.169136,2.0,117.168371,728.106023,117.168371,0.016,0.013549,0.349902,0.226875,25.336068,39.0,0.5422677685950413,0.0
0.626476,0.797912,0.582468,7.0,102.125308,1205.067972,102.125308,0.00975,0.009893,0.1398,0.128317,39.528863,39.0,0.11750456628485066,0.0
0.800000,1.05,0.829767,3.0,89.085711,641.761261,89.085711,0.01475,0.011024,0.146389,0.212706,26.882033,39.0,0.0,1.0
0.566586,1.05,0.63042,4.0,116.77079,1472.924461,116.77079,0.0135,0.01193,0.108238,0.107306,43.696361,39.0,0.1291049544547179,0.0
0.754390,1.038331,0.904254,7.0,90.402825,635.467522,90.402825,0.00975,0.009301,0.194902,0.229008,25.100812,39.0,0.0,1.0
0.707927,1.05,0.715907,2.0,105.017903,915.8614,105.017903,0.016,0.013046,0.1155,0.160533,33.948224,39.0,0.0,1.0
0.668406,0.405337,0.959079,3.0,103.742799,864.245587,103.742799,0.01475,0.011842,0.450624,0.185623,30.246569,39.0,1.427630196688988,0.0
fitness at iteration,3,,,,,101.607808,,,,,,,,0.0
0.756693,0.926981,0.639608,6.0,87.550318,817.966622,87.550318,0.011,0.009415,0.122644,0.170958,32.40811,39.0,0.0,1.0
0.800000,0.467876,1.239434,5.0,93.629288,511.216657,93.629288,0.01225,0.0095,0.573405,0.268983,21.413793,39.0,1.131751820747036,0.0
0.628781,1.05,1.317044,3.0,114.321279,712.829993,114.321279,0.01475,0.012169,0.359146,0.245205,23.468416,39.0,0.4646764951775046,0.0
0.786359,0.671346,1.073788,6.0,87.938843,543.842564,87.938843,0.011,0.009319,0.362114,0.25709,22.391978,39.0,0.4085106382978724,0.0
0.554536,1.05,0.762214,3.0,120.260634,1338.442873,120.260634,0.01475,0.013198,0.147551,0.132075,38.862297,39.0,0.11717584705659656,0.0
0.655761,0.321263,1.4,5.0,119.462779,745.746886,119.462779,0.01225,0.010096,0.931208,0.22444,25.605638,39.0,3.149028693637498,0.0
0.751497,0.3,0.994008,5.0,89.934408,660.037903,89.934408,0.01225,0.009812,0.651609,0.221204,25.971353,39.0,1.9457378709245763,0.0
0.593223,1.004971,1.297235,6.0,123.33464,813.609548,123.33464,0.011,0.010595,0.363686,0.227506,25.271591,39.0,0.5985776199309029,0.0
0.707761,0.436301,0.859125,5.0,91.627814,782.332052,91.627814,0.01225,0.010147,0.393936,0.195127,28.991866,39.0,1.018869761744915,0.0
0.597677,1.05,0.577637,7.0,109.610742,1355.930236,109.610742,0.00975,0.010118,0.10152,0.11317,42.432877,39.0,0.12439331145305899,0.0
0.692249,0.431052,1.113274,6.0,99.65697,700.864688,99.65697,0.011,0.009799,0.579657,0.226244,25.403587,39.0,1.562087834373508,0.0
