D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.798725,3,1.041223,1.008119,117.251949,605.407231,0.351882,1.010850,0,1
0.764735,2,0.848582,0.790853,126.854750,806.063131,0.320662,1.024592,0,2
0.766137,7,0.825809,0.717284,112.204813,787.673593,0.360912,1.029245,0,3
0.760017,5,0.910500,0.573285,115.958433,976.426543,0.346140,1.038353,0,4
0.782781,7,0.767472,0.577876,112.493139,880.016905,0.357055,1.038063,0,5
0.729193,5,0.828746,0.665081,115.546643,937.583909,0.349075,1.032547,0,6
0.737026,6,0.855340,0.730873,114.473281,846.846188,0.353842,1.028386,0,7
0.784246,2,0.990435,0.823769,123.821225,740.567944,0.329319,1.022510,0,8
0.749765,3,1.015235,0.735245,122.574236,863.916301,0.330631,1.028109,0,9
0.763597,2,0.807790,0.646564,126.815987,945.172953,0.317939,1.033718,0,10
0.772815,3,1.020412,1.004003,120.831664,645.464329,0.341187,1.011110,0,11
0.696120,6,0.950420,0.704610,121.214935,967.819662,0.333330,1.030047,0,12
0.772166,2,0.822445,0.723880,125.322772,848.645067,0.323295,1.028828,0,13
0.749346,6,0.939053,0.757887,114.148558,802.398765,0.355514,1.026677,0,14
0.778520,7,0.962423,0.597310,114.081393,881.022044,0.352466,1.036834,0,15
0.784861,3,0.856536,0.837748,117.809823,722.809004,0.346424,1.021626,0,16
0.773440,5,1.041528,0.749845,113.129624,777.956644,0.358723,1.027186,0,17
0.780850,3,1.031863,0.904717,118.374466,683.577975,0.346198,1.017390,0,18
0.753831,4,0.999615,0.871861,118.169690,740.406997,0.345890,1.019468,0,19
0.779554,6,0.810484,0.630288,109.733456,847.286855,0.367162,1.034748,0,20
0.708179,4,0.935796,0.659577,123.091049,1019.905733,0.327453,1.032895,0,21
0.688052,5,1.038690,0.660523,125.205443,1060.763647,0.321810,1.032836,0,22
0.687250,4,0.972099,0.668133,126.645693,1068.713351,0.318269,1.032354,0,23
0.732561,7,0.947950,0.680119,117.938013,891.210856,0.342347,1.031596,0,24
0.785956,6,0.995920,0.946382,113.041898,631.773563,0.363483,1.014755,0,25
0.743841,7,1.025673,0.786373,117.933301,782.830188,0.344691,1.024876,0,26
0.759232,7,0.950700,0.872761,115.128635,700.654913,0.355073,1.019411,0,27
0.788521,5,0.990243,0.958535,113.736437,630.876033,0.361577,1.013986,0,28
0.773338,4,0.894652,0.800905,114.157112,752.463777,0.356632,1.023956,0,29
0.790675,2,0.971868,0.713625,125.242258,821.039244,0.323431,1.029477,0,30
0.777390,3,1.041223,1.008119,119.871604,635.702370,0.344060,1.010850,1,1
0.764735,2,0.848582,0.500000,0.000000,0.000000,0.000000,0.000000,1,2
0.766137,3,0.919785,0.755503,119.563551,813.369344,0.339486,1.026828,1,3
0.776369,5,0.910500,0.954551,0.000000,0.000000,0.000000,0.000000,1,4
0.782781,2,0.915668,0.710081,125.578426,839.369710,0.322456,1.029701,1,5
0.729193,5,0.828746,0.814675,0.000000,0.000000,0.000000,0.000000,1,6
0.737026,2,0.855340,0.730873,130.540841,915.056533,0.310301,1.028386,1,7
0.784246,2,0.936347,0.823769,124.317729,742.735510,0.328018,1.022510,1,8
0.749765,6,1.015235,0.500000,0.000000,0.000000,0.000000,0.000000,1,9
0.759411,5,0.603445,0.500000,0.000000,0.000000,0.000000,0.000000,1,10
0.772815,3,1.020412,0.561255,0.000000,0.000000,0.000000,0.000000,1,11
0.781651,6,0.950420,0.628621,111.536894,853.016714,0.361234,1.034853,1,12
0.800000,6,0.743860,0.500000,0.000000,0.000000,0.000000,0.000000,1,13
0.749346,6,0.749251,0.753669,0.000000,0.000000,0.000000,0.000000,1,14
0.787126,2,0.838923,0.771929,123.776050,780.031022,0.328411,1.025789,1,15
0.747669,3,0.856536,0.837748,0.000000,0.000000,0.000000,0.000000,1,16
0.773440,2,1.041528,0.982072,123.018098,658.036696,0.334684,1.012498,1,17
0.780850,7,1.031863,0.904717,114.188417,650.011520,0.358882,1.017390,1,18
0.753831,4,0.999615,0.500000,0.000000,0.000000,0.000000,0.000000,1,19
0.651507,6,1.000443,0.630288,0.000000,0.000000,0.000000,0.000000,1,20
0.708179,4,0.921895,0.689885,122.379441,985.237838,0.329944,1.030978,1,21
0.688052,7,1.038690,0.660523,0.000000,0.000000,0.000000,0.000000,1,22
0.800000,4,0.972099,0.668133,112.504238,811.707229,0.359105,1.032354,1,23
0.732561,5,0.955691,0.680119,117.047943,920.194484,0.344961,1.031596,1,24
0.785956,2,0.995920,0.549028,0.000000,0.000000,0.000000,0.000000,1,25
0.752940,7,0.820469,0.786373,0.000000,0.000000,0.000000,0.000000,1,26
0.759232,3,0.950700,0.872761,121.475169,741.589375,0.336540,1.019411,1,27
0.800000,2,0.990243,0.958535,121.484229,634.454046,0.338577,1.013986,1,28
0.800000,4,0.992068,1.141733,0.000000,0.000000,0.000000,0.000000,1,29
0.749354,5,1.050000,0.713625,116.369435,855.773809,0.347789,1.029477,1,30
best fit at iteration 1,116.369435
0.798725,5,1.050000,1.008119,114.039389,595.012515,0.361799,1.010850,2,1
0.764735,4,1.050000,0.972816,118.647046,666.286491,0.346742,1.013083,2,2
0.766137,7,0.838488,0.717284,112.323851,787.870688,0.360532,1.029245,2,3
0.740862,2,1.050000,0.830428,128.353976,812.102985,0.317534,1.022089,2,4
0.782781,4,0.767472,0.617653,111.176353,884.918502,0.362161,1.035547,2,5
0.758461,5,1.016947,0.653474,115.654774,894.355528,0.348721,1.033281,2,6
0.737026,4,0.981665,0.730873,119.127307,878.666838,0.340022,1.028386,2,7
0.784246,2,0.990435,0.823769,123.821225,740.567944,0.329319,1.022510,2,8
0.749765,7,1.015235,0.500000,0.000000,0.000000,0.000000,0.000000,2,9
0.763597,4,0.807790,0.646564,113.680819,897.225784,0.354672,1.033718,2,10
0.793590,7,1.050000,0.589218,114.357192,868.414281,0.351565,1.037346,2,11
0.763577,6,0.950420,0.628621,113.510051,889.736746,0.354820,1.034853,2,12
0.738381,2,0.900310,0.610770,0.000000,0.000000,0.000000,0.000000,2,13
0.749346,6,0.956415,0.757887,114.414650,802.770975,0.354703,1.026677,2,14
0.756428,7,1.002532,0.597310,117.191395,931.364290,0.342964,1.036834,2,15
0.800000,3,0.856536,0.601886,117.335550,895.414216,0.342951,1.036544,2,16
0.747483,5,0.883501,0.749845,114.095486,824.393884,0.355508,1.027186,2,17
0.723834,7,0.780474,0.804951,0.000000,0.000000,0.000000,0.000000,2,18
0.732052,6,0.999615,0.732323,117.246301,859.994973,0.345464,1.028294,2,19
0.799132,4,1.014861,0.630288,115.160273,854.784614,0.350024,1.034748,2,20
0.696053,3,1.050000,0.689885,131.532117,1041.412425,0.306905,1.030978,2,21
0.721705,5,0.903151,0.660523,117.713419,963.530394,0.342502,1.032836,2,22
0.800000,4,0.972099,0.668133,112.504238,811.707229,0.359105,1.032354,2,23
0.732561,3,0.955691,0.680119,125.224576,957.269109,0.322440,1.031596,2,24
0.785956,6,0.986565,0.500000,0.000000,0.000000,0.000000,0.000000,2,25
