D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.765571,4,1.018278,0.968013,118.602216,668.174507,0.346764,1.013387,0,1
0.776342,6,0.860775,0.682927,110.003549,808.218711,0.367431,1.031419,0,2
0.766842,4,0.912533,0.728282,114.517959,818.599121,0.353850,1.028550,0,3
0.778096,6,0.996255,0.723189,111.646567,776.694392,0.362941,1.028872,0,4
0.760466,6,0.942155,0.820371,113.390720,739.069009,0.359364,1.022725,0,5
0.749676,7,1.028206,0.752930,117.178172,796.334623,0.346226,1.026991,0,6
0.786194,4,1.039108,0.852200,113.986807,697.084729,0.358390,1.020712,0,7
0.740500,2,1.014617,0.786956,129.683788,850.664360,0.313430,1.024839,0,8
0.750441,3,1.022688,0.712224,123.078047,884.989693,0.328817,1.029565,0,9
0.743418,2,0.995691,0.769486,129.765831,860.895175,0.312926,1.025944,0,10
0.753170,7,0.810386,0.601018,115.090881,919.619371,0.349269,1.036599,0,11
0.798950,5,0.940058,0.558684,113.617545,914.163372,0.353205,1.039277,0,12
0.755914,6,0.973764,0.595365,115.815770,946.577072,0.347002,1.036957,0,13
0.743569,5,1.045041,0.872365,117.934666,748.634113,0.346519,1.019437,0,14
0.764026,7,0.967391,0.679795,114.515034,826.922816,0.352799,1.031617,0,15
0.788900,4,0.910045,0.688898,112.148185,810.558281,0.360626,1.031041,0,16
0.761808,5,0.776349,0.637307,111.226207,890.251172,0.362289,1.034304,0,17
0.774159,5,0.836009,0.565514,112.936173,946.715894,0.355299,1.038845,0,18
0.779598,3,0.949913,0.690232,119.014193,845.755282,0.339794,1.030956,0,19
0.738487,4,0.840596,0.670794,117.099022,929.383023,0.344642,1.032186,0,20
0.740946,6,1.023455,0.873252,117.787658,742.991670,0.346955,1.019380,0,21
0.766248,2,0.985816,0.976739,125.903360,675.859360,0.326862,1.012835,0,22
0.778012,5,1.015009,0.840570,112.835871,707.591353,0.361712,1.021448,0,23
0.792835,5,0.662651,0.540164,109.218982,921.659730,0.366965,1.040448,0,24
0.749513,3,0.936654,0.800077,121.955084,810.179728,0.333623,1.024009,0,25
0.715133,4,0.948857,0.717887,121.671217,940.146564,0.332502,1.029207,0,26
0.765186,2,0.824305,0.735238,126.285326,852.332861,0.321030,1.028110,0,27
0.714595,4,1.015290,0.648562,124.372941,1021.668008,0.323904,1.033592,0,28
0.727058,5,0.996003,0.816096,118.776114,817.672044,0.342757,1.022996,0,29
0.701292,6,1.024363,0.771950,122.079916,896.389017,0.332378,1.025788,0,30
0.778274,4,1.018278,0.697951,115.095643,826.239378,0.351528,1.030468,1,1
0.749743,6,0.863688,0.705509,112.984742,841.502891,0.358039,1.029990,1,2
0.766842,6,0.852875,0.728282,110.879942,789.656969,0.365465,1.028550,1,3
0.800000,6,0.996255,0.723189,109.256245,738.687838,0.371038,1.028872,1,4
0.800000,6,1.029301,0.579415,113.180952,879.279287,0.355039,1.037966,1,5
0.749676,7,0.798228,0.752930,0.000000,0.000000,0.000000,0.000000,1,6
0.800000,6,1.039108,0.852200,110.523815,657.031572,0.369699,1.020712,1,7
0.800000,4,0.794169,0.542790,0.000000,0.000000,0.000000,0.000000,1,8
0.750441,2,0.909689,0.770732,128.907770,848.012129,0.315068,1.025865,1,9
0.743418,2,1.049425,0.650221,135.862627,993.944670,0.296703,1.033487,1,10
0.719587,7,1.036488,0.601018,122.278821,1017.952752,0.328526,1.036599,1,11
0.737241,5,0.940058,0.558684,0.000000,0.000000,0.000000,0.000000,1,12
0.755914,6,1.050000,0.818170,115.590808,749.932827,0.352448,1.022864,1,13
0.777906,5,0.770078,0.515397,0.000000,0.000000,0.000000,0.000000,1,14
0.788234,5,0.852996,0.679795,108.909870,802.099123,0.371131,1.031617,1,15
0.721340,7,0.668241,0.579293,0.000000,0.000000,0.000000,0.000000,1,16
0.761808,7,0.954937,0.808782,114.432619,733.539850,0.355835,1.023458,1,17
0.774159,5,0.836009,0.565514,112.936173,946.715894,0.355299,1.038845,1,18
0.779598,7,0.949913,0.912192,113.027714,648.115839,0.362716,1.016918,1,19
0.738487,4,1.050000,0.706393,120.258749,901.140885,0.336332,1.029934,1,20
0.740946,6,1.023455,0.575771,0.000000,0.000000,0.000000,0.000000,1,21
0.766248,7,0.990272,0.500000,0.000000,0.000000,0.000000,0.000000,1,22
0.778012,6,1.015009,0.604162,114.023521,892.378763,0.352782,1.036400,1,23
0.792835,5,1.050000,0.540164,0.000000,0.000000,0.000000,0.000000,1,24
0.749513,6,1.028323,0.800077,115.856213,773.487613,0.351198,1.024009,1,25
0.715133,4,0.744578,0.717887,0.000000,0.000000,0.000000,0.000000,1,26
0.756821,2,0.824305,0.635753,128.518957,973.437999,0.313478,1.034402,1,27
0.714595,7,0.871607,0.648562,0.000000,0.000000,0.000000,0.000000,1,28
0.778293,6,0.996003,0.816096,111.979459,711.548959,0.363933,1.022996,1,29
0.792789,3,1.024363,0.771950,116.944619,751.966020,0.347631,1.025788,1,30
best fit at iteration 1,116.944619
0.778274,5,1.018278,0.697951,112.546717,811.364415,0.359483,1.030468,2,1
0.776342,6,1.017357,0.682927,112.507996,814.934455,0.359242,1.031419,2,2
0.796693,5,0.852875,0.500000,0.000000,0.000000,0.000000,0.000000,2,3
0.800000,6,1.050000,0.824620,110.445246,672.662758,0.369339,1.022456,2,4
0.800000,2,1.029301,0.675783,126.863299,843.185285,0.318619,1.031870,2,5
0.779492,7,1.028206,0.752930,113.631531,741.861693,0.357253,1.026991,2,6
0.800000,3,0.760795,1.001459,0.000000,0.000000,0.000000,0.000000,2,7
0.740500,5,1.014617,0.786956,116.898209,811.862552,0.347728,1.024839,2,8
0.750441,3,0.921253,0.712224,121.752931,883.319573,0.332387,1.029565,2,9
0.743418,6,0.995691,0.500000,0.000000,0.000000,0.000000,0.000000,2,10
0.761173,7,1.050000,0.601018,117.563399,921.064148,0.341992,1.036599,2,11
0.798950,5,0.892874,0.558684,112.202980,908.756440,0.357661,1.039277,2,12
0.790510,7,1.050000,0.536554,0.000000,0.000000,0.000000,0.000000,2,13
0.743569,5,1.045041,0.670790,117.670840,910.245735,0.343007,1.032186,2,14
0.788234,5,0.963076,0.679795,110.652619,806.437725,0.365288,1.031617,2,15
0.788900,5,1.050000,0.688898,112.160131,801.383521,0.360605,1.031041,2,16
0.761808,5,0.776349,0.637307,111.226207,890.251172,0.362289,1.034304,2,17
0.799245,6,1.045846,0.565514,114.504945,900.382086,0.350626,1.038845,2,18
0.779598,4,0.949913,0.912192,115.715679,675.634667,0.354305,1.016918,2,19
0.800000,7,0.840596,0.678834,109.059458,757.636005,0.370710,1.031677,2,20
0.796938,5,1.023455,0.975988,113.318717,610.861689,0.363352,1.012882,2,21
0.800000,2,0.985816,0.976739,121.645816,625.626045,0.338528,1.012835,2,22
0.722575,5,1.015009,0.539253,0.000000,0.000000,0.000000,0.000000,2,23
0.777413,7,1.028572,0.837365,114.076335,690.972119,0.357719,1.021650,2,24
0.749513,3,1.028323,0.800077,121.986415,808.665101,0.333562,1.024009,2,25
0.742020,4,0.948857,0.717887,118.098332,879.027925,0.342742,1.029207,2,26
0.765186,2,1.022916,0.735238,127.872872,848.726698,0.317041,1.028110,2,27
0.714595,4,1.015290,0.648562,124.372941,1021.668008,0.323904,1.033592,2,28
0.726417,2,0.996003,0.816096,131.440334,855.657636,0.309732,1.022996,2,29
0.767511,7,1.050000,0.645712,116.106697,857.662045,0.347265,1.033772,2,30
best fit at iteration 2,116.106697
0.763020,7,1.018278,0.697951,115.475226,815.120206,0.350232,1.030468,3,1
0.776342,2,0.823156,0.648265,125.659451,915.854282,0.320985,1.033611,3,2
0.800000,6,0.852875,1.042910,0.000000,0.000000,0.000000,0.000000,3,3
0.800000,7,0.996255,0.599132,112.400694,839.941364,0.357918,1.036719,3,4
0.800000,6,1.050000,0.899138,111.291689,633.145229,0.368239,1.017743,3,5
0.779492,7,1.028206,0.752930,113.631531,741.861693,0.357253,1.026991,3,6
0.800000,7,1.039108,0.852200,111.748712,648.044359,0.365651,1.020712,3,7
0.767707,5,1.014617,0.786956,113.509968,760.210703,0.358298,1.024839,3,8
0.732593,2,0.921253,0.712224,132.140221,942.698466,0.306168,1.029565,3,9
0.775075,2,0.976625,0.769486,125.759200,799.527654,0.323119,1.025944,3,10
0.780995,4,1.050000,0.601018,120.245838,929.739998,0.334485,1.036599,3,11
0.798950,7,0.810696,0.825694,0.000000,0.000000,0.000000,0.000000,3,12
0.755914,6,0.880272,0.818170,0.000000,0.000000,0.000000,0.000000,3,13
0.743569,6,0.998932,0.744892,115.790346,825.518501,0.350168,1.027499,3,14
0.767074,6,0.852996,0.679795,110.958453,828.439328,0.364135,1.031617,3,15
0.800000,4,0.910045,0.688898,110.939111,790.438997,0.364636,1.031041,3,16
0.761808,3,0.776349,0.709625,118.082624,861.922165,0.342755,1.029730,3,17
0.752060,2,1.050000,0.718866,130.240782,892.151191,0.310855,1.029145,3,18
0.779598,7,0.949913,0.750826,112.176275,741.159432,0.361849,1.027124,3,19
0.800000,7,0.767391,0.678834,108.586097,756.013195,0.372316,1.031677,3,20
0.800000,5,1.023455,0.975988,112.958621,606.612289,0.364538,1.012882,3,21
0.729930,4,0.985816,0.976739,0.000000,0.000000,0.000000,0.000000,3,22
0.800000,2,1.007575,1.178979,0.000000,0.000000,0.000000,0.000000,3,23
0.731815,5,0.662651,0.699852,0.000000,0.000000,0.000000,0.000000,3,24
0.759567,6,1.028323,0.800077,114.597891,754.887084,0.355114,1.024009,3,25
0.800000,3,0.948857,0.941401,117.525157,638.605682,0.349627,1.015070,3,26
0.765186,6,0.978661,0.735238,112.800054,790.387758,0.359378,1.028110,3,27
0.714595,4,1.015290,0.648562,124.372941,1021.668008,0.323904,1.033592,3,28
0.778293,6,0.996003,0.690228,111.806285,803.720969,0.361694,1.030957,3,29
0.800000,7,0.778752,0.645712,109.141813,783.160446,0.369681,1.033772,3,30
best fit at iteration 3,109.141813
0.794836,5,1.018278,0.697951,110.732429,781.150795,0.365502,1.030468,4,1
0.776342,7,0.860775,0.682927,111.657679,796.830766,0.361991,1.031419,4,2
0.766842,3,0.852875,0.928223,0.000000,0.000000,0.000000,0.000000,4,3
0.747915,6,0.996255,0.758054,115.238674,806.410142,0.352153,1.026667,4,4
0.775361,6,1.050000,0.529899,0.000000,0.000000,0.000000,0.000000,4,5
0.770096,6,1.028206,0.752930,113.124556,769.327904,0.358791,1.026991,4,6
0.800000,6,1.039108,0.524312,0.000000,0.000000,0.000000,0.000000,4,7
0.800000,2,0.981097,1.019617,121.898917,605.779388,0.338734,1.010123,4,8
0.800000,6,0.921253,0.858635,109.054301,653.120790,0.374855,1.020305,4,9
0.775075,2,0.692387,0.693286,0.000000,0.000000,0.000000,0.000000,4,10
0.800000,7,0.810386,0.601018,110.269835,825.470342,0.364879,1.036599,4,11
0.800000,5,0.892874,0.558684,112.105883,906.646186,0.357996,1.039277,4,12
0.755914,7,1.050000,0.818170,117.061352,739.593725,0.348030,1.022864,4,13
0.777973,6,0.998932,0.744892,111.676804,760.310062,0.363302,1.027499,4,14
0.788234,7,0.852996,0.692987,110.235950,767.078216,0.366987,1.030782,4,15
0.769369,4,0.933697,0.688898,114.770903,848.831655,0.352242,1.031041,4,16
0.781074,5,0.776349,0.637307,109.106634,850.881790,0.369467,1.034304,4,17
0.800000,6,0.836009,0.565514,109.860508,876.586018,0.365463,1.038845,4,18
0.769308,7,0.872809,0.750826,112.254101,757.935765,0.361525,1.027124,4,19
0.800000,7,0.767391,0.678834,108.586097,756.013195,0.372316,1.031677,4,20
0.800000,2,1.023455,0.975988,120.437130,623.636304,0.341901,1.012882,4,21
0.741851,2,0.985816,0.897656,129.081668,764.589705,0.317070,1.017837,4,22
0.746373,7,1.050000,0.914287,119.014200,701.308311,0.344284,1.016785,4,23
0.792835,5,0.662651,0.540164,109.218982,921.659730,0.366965,1.040448,4,24
0.783027,6,0.862220,0.761140,109.291788,737.404133,0.371655,1.026472,4,25
0.777973,3,1.050000,0.941401,118.795475,667.293778,0.345715,1.015070,4,26
0.790839,6,0.834355,0.735238,108.064462,741.509914,0.375328,1.028110,4,27
0.714595,4,1.015290,0.911937,0.000000,0.000000,0.000000,0.000000,4,28
0.759496,7,0.996003,0.948259,0.000000,0.000000,0.000000,0.000000,4,29
0.800000,7,0.932944,0.645712,110.518166,789.290061,0.365063,1.033772,4,30
best fit at iteration 4,109.141813
0.794836,5,0.908901,0.697951,108.879728,776.906339,0.371692,1.030468,5,1
0.776342,7,0.860775,1.009210,0.000000,0.000000,0.000000,0.000000,5,2
0.766842,5,0.852875,0.526445,0.000000,0.000000,0.000000,0.000000,5,3
